spec,dep_var,term,estimate,std_error,p_value,n,n_orgs
full_direct_spillover,n_non_usaid_funders,tp:pre_usaid_funded,2.718480837415493,1.4838781558026817,0.06709994447124065,19759,1981
full_direct_spillover,n_non_usaid_funders,tp:pre_usaid_exposure_share,-1.0358224769687938,0.6489722237327066,0.11062676856759161,19759,1981
baseline,total_degree,tp,2.5585150848121114,1.8107710445014813,0.15782984880421214,19759,1981
heterogeneous_direct,total_degree,tp,2.812950590844505,2.1364107774532264,0.1881012316587428,19759,1981
heterogeneous_direct,total_degree,tp:pre_usaid_funded,-1.5627310232403855,2.643898516858928,0.5545404971783519,19759,1981
spillover_exposure,total_degree,tp,0.9297276335929956,1.2170393595794546,0.44500254699640684,19759,1981
spillover_exposure,total_degree,tp:pre_usaid_exposure_share,8.386316856831042,7.404599666664621,0.2575269315931541,19759,1981
full_direct_spillover,total_degree,tp,0.8780423103404216,1.2187265530519835,0.47132758158230326,19759,1981
full_direct_spillover,total_degree,tp:pre_usaid_funded,-45.45343773494885,2.52530543062969,3.346398962412345e-67,19759,1981
full_direct_spillover,total_degree,tp:pre_usaid_exposure_share,46.75612782876186,1.6397795894745828,4.0255812895267316e-150,19759,1981
baseline,rewire_in,tp,0.029258686704690354,0.015146605814370847,0.05354093218260257,17293,1957
heterogeneous_direct,rewire_in,tp,0.02493712687518399,0.016614020189822807,0.1335250149995792,17293,1957
heterogeneous_direct,rewire_in,tp:pre_usaid_funded,0.028829031989671502,0.0360006768571373,0.42334968088755853,17293,1957
spillover_exposure,rewire_in,tp,0.027112516970050096,0.017250662369249086,0.1161865710864747,17293,1957
spillover_exposure,rewire_in,tp:pre_usaid_exposure_share,0.011562507450627015,0.034434467058352916,0.7370705495167146,17293,1957
full_direct_spillover,rewire_in,tp,0.027192249854324634,0.017230352720086946,0.11469060238716318,17293,1957
full_direct_spillover,rewire_in,tp:pre_usaid_funded,0.07404246111911489,0.029456535646602635,0.01202975847067974,17293,1957
full_direct_spillover,rewire_in,tp:pre_usaid_exposure_share,-0.04866403750018761,0.018197964304277506,0.0075543080581531195,17293,1957
baseline,rewire_out,tp,0.011840451591101588,0.014673443597363866,0.4198045357751129,17293,1957
heterogeneous_direct,rewire_out,tp,0.013177872895396105,0.01656148579146976,0.42630653388393847,17293,1957
heterogeneous_direct,rewire_out,tp:pre_usaid_funded,-0.00892190854375087,0.02659254322450599,0.7372807965660904,17293,1957
spillover_exposure,rewire_out,tp,0.019019785403325114,0.01617191207602928,0.2396980467273213,17293,1957
spillover_exposure,rewire_out,tp:pre_usaid_exposure_share,-0.03867872114426979,0.03155115918342961,0.2203820306031629,17293,1957
full_direct_spillover,rewire_out,tp,0.01913887623320431,0.01616306236103463,0.23651259796553034,17293,1957
full_direct_spillover,rewire_out,tp:pre_usaid_funded,0.11059148582424558,0.022418557300199708,8.780667564357602e-7,17293,1957
full_direct_spillover,rewire_out,tp:pre_usaid_exposure_share,-0.12863444373237015,0.01715862175196213,9.857047599771427e-14,17293,1957
