name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
prime minister s office,prime minister s office italy,88.5,100.0,prime minister s office italy,token_sort,Prime Minister's Office,Prime Minister's Office - Italy
royal norwegian embassy,royal norwegian embassy cairo,88.5,100.0,royal norwegian embassy,token_sort,Royal Norwegian Embassy,"Royal Norwegian Embassy, Cairo"
embassy of the republic of poland in ankara,embassy of the republic of poland in beirut,88.4,92.5,embassy of the republic of poland in beirut,token_sort,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Beirut
embassy of the republic of poland in ankara,embassy of the republic of poland in bogota,88.4,93.8,embassy of the republic of poland in bogota,token_sort,Embassy of the Republic of Poland in Ankara,Embassy of the Republic of Poland in Bogota
government of slovakia,government of somalia,88.4,86.5,government of somalia,token_sort,Government of Slovakia,Government of Somalia
ministry of agriculture and irrigation,ministry of agriculture livestock and irrigation,88.4,78.3,ministry of agriculture and irrigation,token_sort,Ministry of Agriculture and Irrigation,"Ministry of Agriculture, Livestock and Irrigation"
italian agency for development cooperation dakar office,italian agency for development cooperation havana office,88.3,92.7,italian agency for development cooperation dakar office,token_sort,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Havana Office
italian agency for development cooperation dakar office,italian agency for development cooperation la paz office,88.3,92.7,italian agency for development cooperation dakar office,token_sort,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - La Paz Office
italian agency for development cooperation dakar office,italian agency for development cooperation yangon office,88.3,90.9,italian agency for development cooperation yangon office,token_sort,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Yangon Office
ministry of foreign affairs and emigrants,ministry of foreign affairs and expatriates,88.1,89.7,ministry of foreign affairs and emigrants,token_sort,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and Expatriates
royal norwegian embassy asmara,royal norwegian embassy cairo,88.1,92.6,royal norwegian embassy cairo,token_sort,"Royal Norwegian Embassy, Asmara","Royal Norwegian Embassy, Cairo"
royal norwegian embassy beirut,royal norwegian embassy cairo,88.1,91.2,royal norwegian embassy cairo,token_sort,"Royal Norwegian Embassy, Beirut","Royal Norwegian Embassy, Cairo"
community of madrid spain,community of murcia spain,88.0,88.0,community of madrid spain,token_sort,Community of Madrid - Spain,Community of Murcia - Spain
groupe d appui au developpement du sud,groupe d appui au developpement rural,88.0,93.0,groupe d appui au developpement du sud,token_sort,Groupe d'Appui au Développement du Sud,Groupe d'Appui au Développement Rural
united nations children s fund spain committee,united nations children s fund united states committee,88.0,85.4,united nations children s fund spain committee,token_sort,United Nations Children's Fund - Spain Committee,United Nations Children's Fund - United States Committee
universita degli studi di roma tre,universita degli studi di trento,87.9,93.3,universita degli studi di roma tre,token_sort,Università degli Studi di Roma Tre,Università degli Studi di Trento
croix rouge haitienne,croix rouge malienne,87.8,85.0,croix rouge malienne,token_sort,Croix-Rouge Haïtienne,Croix- Rouge Malienne
islamic relief sweden,islamic relief yemen,87.8,85.7,islamic relief sweden,token_sort,Islamic Relief Sweden,Islamic Relief Yemen
ministry of science and higher education,ministry of technical and higher education,87.8,85.0,ministry of technical and higher education,token_sort,Ministry of Science and Higher Education,Ministry of Technical and Higher Education
plan international,plan international mali,87.8,100.0,plan international,token_sort,Plan International,Plan International Mali
rapid response burundi,rapid response fund,87.8,88.9,rapid response fund,token_sort,Rapid Response Burundi,Rapid Response Fund
united nations children s fund australia committee,united nations children s fund belgium committee,87.8,85.4,united nations children s fund australia committee,token_sort,United Nations Children's Fund - Australia Committee,United Nations Children's Fund - Belgium Committee
care czech republic,caritas czech republic,87.8,88.9,caritas czech republic,token_sort,CARE Czech Republic,Caritas Czech Republic
hellenic air force general staff greece,hellenic army general staff greece,87.7,79.4,hellenic air force general staff greece,token_sort,Hellenic Air Force General Staff - Greece,Hellenic Army General Staff - Greece
ministry of finance and economic planning,ministry of planning and finance,87.7,74.5,ministry of finance and economic planning,token_sort,Ministry of Finance and Economic Planning,Ministry of Planning and Finance
fondazione cesar,fondazione cesvi,87.5,93.3,fondazione cesar,token_sort,Fondazione Cesar,Fondazione CESVI
italian agency for development cooperation havana office,italian agency for development cooperation la paz office,87.5,92.9,italian agency for development cooperation havana office,token_sort,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - La Paz Office
italian agency for development cooperation havana office,italian agency for development cooperation yangon office,87.5,92.9,italian agency for development cooperation yangon office,token_sort,Italian Agency for Development Cooperation - Havana Office,Italian Agency for Development Cooperation - Yangon Office
ministry of health italy,ministry of health libya,87.5,91.3,ministry of health italy,token_sort,Ministry of Health - Italy,Ministry of Health - Libya
universidad eafit,universidad ean,87.5,96.6,universidad eafit,token_sort,Universidad EAFIT,Universidad Ean
embassy of the republic of poland in cairo,embassy of the republic of poland in damascus,87.4,93.8,embassy of the republic of poland in damascus,token_sort,Embassy of the Republic of Poland in Cairo,Embassy of the Republic of Poland in Damascus
community of andalucia spain,community of canarias spain,87.3,85.2,community of andalucia spain,token_sort,Community of Andalucía - Spain,Community of Canarias - Spain
community of andalucia spain,community of cataluna spain,87.3,85.2,community of andalucia spain,token_sort,Community of Andalucía - Spain,Community of Cataluña - Spain
community of asturias spain,community of cantabria spain,87.3,85.2,community of asturias spain,token_sort,Community of Asturias - Spain,Community of Cantabria - Spain
community of cantabria spain,community of cataluna spain,87.3,85.2,community of cataluna spain,token_sort,Community of Cantabria - Spain,Community of Cataluña - Spain
international development group,international services development group,87.3,75.5,international services development group,token_sort,International Development Group,International Services Development Group
medecins sans frontieres,medecins sans frontieres canada,87.3,100.0,medecins sans frontieres,token_sort,Médecins Sans Frontieres,Médecins Sans Frontières Canada
ministry of foreign affairs japan,ministry of foreign affairs kazakhstan,87.3,92.3,ministry of foreign affairs japan,token_sort,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Kazakhstan
ministry of interior slovakia,ministry of interior spain,87.3,91.7,ministry of interior spain,token_sort,Ministry of Interior - Slovakia,Ministry of Interior - Spain
save the children federation,save the children nederland,87.3,90.2,save the children federation,token_sort,Save the Children Federation,Save the Children Nederland
government of gambia,government of ghana,87.2,91.4,government of ghana,token_sort,Government of Gambia,Government of Ghana
government of guinea,government of nepal,87.2,84.8,government of nepal,token_sort,Government of Guinea,Government of Nepal
government of israel,government of italy,87.2,88.2,government of italy,token_sort,Government of Israel,Government of Italy
government of sudan,government of sweden,87.2,88.2,government of sudan,token_sort,Government of Sudan,Government of Sweden
government of sweden,government of yemen,87.2,84.8,government of yemen,token_sort,Government of Sweden,Government of Yemen
