name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministry of foreign affairs lithuania,ministry of foreign affairs poland,76.1,92.1,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs - Lithuania,Ministry of Foreign Affairs - Poland
centre hospitalier de l universite de montreal,centre hospitalier de l universite de montreal unite de sante international,76.0,100.0,centre hospitalier de l universite de montreal unite de sante international,partial_ratio,Centre Hospitalier de l'Université de Montréal|Centre hospitalier de l'Université de Montréal,Centre Hospitalier de l'Université de Montréal-Unité de Santé International
ministry of finance drc,ministry of finance senegal,76.0,93.0,ministry of finance senegal,partial_ratio,Ministry of Finance - DRC,Ministry of Finance - Senegal
pelastakaa lapset radda barnen,pelastakaa lapset ry,76.0,97.4,pelastakaa lapset ry,partial_ratio,"Pelastakaa Lapset, Rädda Barnen",Pelastakaa Lapset ry
rapid response fund,rapid response fund south sudan,76.0,100.0,rapid response fund,partial_ratio,Rapid Response Fund,Rapid Response Fund South Sudan
ministry of foreign affairs and trade hungary,ministry of foreign affairs greece,75.9,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Greece
ministry of foreign affairs and trade hungary,ministry of foreign affairs poland,75.9,95.4,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Poland
ministry of health and population,ministry of health uganda,75.9,93.6,ministry of health and population,partial_ratio,Ministry of Health and Population,Ministry of Health - Uganda
ministry of health and sanitation,ministry of health uganda,75.9,93.6,ministry of health and sanitation,partial_ratio,Ministry of Health and Sanitation,Ministry of Health - Uganda
solidaridad internacional,solidaridad internacional pais valenciano,75.8,100.0,solidaridad internacional,partial_ratio,Solidaridad Internacional,Solidaridad Internacional País Valenciano
universita degli studi di brescia,universita degli studi di firenze,75.8,90.3,universita degli studi di firenze,partial_ratio,Università degli Studi di Brescia,Università degli Studi di Firenze
universita degli studi di brescia,universita degli studi di sassari,75.8,91.8,universita degli studi di sassari,partial_ratio,Università degli Studi di Brescia,Università degli Studi di Sassari
universita degli studi di brescia,universita degli studi di trieste,75.8,92.1,universita degli studi di brescia,partial_ratio,Università degli Studi di Brescia,Università degli Studi di Trieste
universita degli studi di macerata,universita degli studi di verona,75.8,90.6,universita degli studi di verona,partial_ratio,Università degli Studi di Macerata,Università degli Studi di Verona
universita degli studi di roma tre,universita degli studi di verona,75.8,93.5,universita degli studi di roma tre,partial_ratio,Università degli Studi di Roma Tre,Università degli Studi di Verona
universita degli studi di sassari,universita degli studi di trieste,75.8,90.3,universita degli studi di sassari,partial_ratio,Università degli Studi di Sassari,Università degli Studi di Trieste
international development group,international development relief foundation,75.7,93.1,international development group,partial_ratio,International Development Group,International Development & Relief Foundation
ministry of foreign affairs netherlands,ministry of foreign affairs romania,75.7,90.6,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Netherlands,Ministry of Foreign Affairs - Romania
embassy of canada,embassy of canada to lebanon,75.6,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada to Lebanon
embassy of canada,embassy of canada to senegal,75.6,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada to Senegal
government of saudi arabia,government of sudan,75.6,91.9,government of sudan,partial_ratio,Government of Saudi Arabia,Government of Sudan
government of sierra leone,government of syria,75.6,91.4,government of sierra leone,partial_ratio,Government of Sierra Leone,Government of Syria
united nations children s fund sudan,united nations children s fund united states committee,75.6,95.7,united nations children s fund united states committee,partial_ratio,United Nations Children's Fund Sudan,United Nations Children's Fund - United States Committee
ministry of interior france,ministry of interior spain,75.5,90.2,ministry of interior spain,partial_ratio,Ministry of Interior - France,Ministry of Interior - Spain
embassy of canada to saudi arabia,embassy of canada to senegal,75.4,90.2,embassy of canada to senegal,partial_ratio,Embassy of Canada to Saudi Arabia,Embassy of Canada to Senegal
ministry of agriculture,ministry of agriculture and irrigation,75.4,100.0,ministry of agriculture and irrigation,partial_ratio,Ministry of Agriculture,Ministry of Agriculture and Irrigation
ministry of transport and public works,ministry of transport and roads,75.4,91.2,ministry of transport and public works,partial_ratio,Ministry of Transport and Public Works,Ministry of Transport and Roads
geneva centre for security policy,geneva centre for security sector governance,75.3,90.0,geneva centre for security sector governance,partial_ratio,Geneva Centre for Security Policy,Geneva Centre for Security Sector Governance
ministry of foreign affairs and international trade,ministry of foreign affairs latvia,75.3,92.1,ministry of foreign affairs and international trade,partial_ratio,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Latvia
veterinaires sans frontieres international,veterinaires sans frontieres suisse,75.3,92.3,veterinaires sans frontieres international,partial_ratio,Vétérinaires Sans Frontières International,Vétérinaires Sans Frontières Suisse
ministry of foreign affairs,ministry of foreign affairs and trade hungary,75.0,100.0,ministry of foreign affairs,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs and Trade - Hungary
ministry of foreign affairs and trade hungary,ministry of foreign affairs romania,75.0,92.3,ministry of foreign affairs romania,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Romania
ministry of foreign affairs belgium,ministry of foreign affairs lithuania,75.0,92.3,ministry of foreign affairs lithuania,partial_ratio,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Lithuania
ministry of foreign affairs japan,ministry of foreign affairs netherlands,75.0,93.5,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs kazakhstan,ministry of foreign affairs norway,75.0,90.6,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Kazakhstan,Ministry of Foreign Affairs - Norway
ministry of foreign affairs kazakhstan,ministry of foreign affairs poland,75.0,90.6,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs - Kazakhstan,Ministry of Foreign Affairs - Poland
ministry of health italy,ministry of health spain,75.0,90.9,ministry of health spain,partial_ratio,Ministry of Health - Italy,Ministry of Health - Spain
plan international canada,plan international mali,75.0,90.9,plan international canada,partial_ratio,Plan International Canada,Plan International Mali
united nations children s fund,united nations children s fund australia committee,75.0,100.0,united nations children s fund,partial_ratio,United Nations Children's Fund,United Nations Children's Fund - Australia Committee
world vision,world vision finland,75.0,100.0,world vision,partial_ratio,World Vision International,World Vision Finland
world vision,world vision germany,75.0,100.0,world vision,partial_ratio,World Vision International,World Vision Germany
world vision,world vision ireland,75.0,100.0,world vision,partial_ratio,World Vision International,World Vision Ireland
world vision,world vision myanmar,75.0,100.0,world vision,partial_ratio,World Vision International,World Vision Myanmar
world vision,world vision somalia,75.0,100.0,world vision,partial_ratio,World Vision International,World Vision Somalia
ministere de l environnment et de l eau,ministere de l’environnement,74.6,94.5,ministere de l’environnement,partial_ratio,Ministere de l'Environnment et de l'Eau,Ministère de l’Environnement
universita degli studi di brescia,universita degli studi di roma tre,74.6,90.0,universita degli studi di roma tre,partial_ratio,Università degli Studi di Brescia,Università degli Studi di Roma Tre
amref health africa canada,amref health africa spain,74.5,91.7,amref health africa canada,partial_ratio,Amref Health Africa - Canada,AMREF Health Africa - Spain
government of finland,government of flanders belgium,74.5,95.0,government of flanders belgium,partial_ratio,Government of Finland,Government of Flanders - Belgium
government of south africa,government of south sudan,74.5,91.3,government of south sudan,partial_ratio,Government of South Africa,Government of South Sudan
ministry of defense norway,ministry of defense spain,74.5,91.3,ministry of defense spain,partial_ratio,Ministry of Defense - Norway,Ministry of Defense - Spain
ministry of finance,ministry of finance sierra leone,74.5,100.0,ministry of finance,partial_ratio,Ministry of Finance,Ministry of Finance Sierra Leone
attorney general australia,attorney generals,74.4,97.0,attorney generals,partial_ratio,Attorney-General - Australia,Attorney-Generals
embassy of spain,embassy of spain in lebanon,74.4,100.0,embassy of spain,partial_ratio,Embassy of Spain,Embassy of Spain in Lebanon
ministry of foreign affairs and trade hungary,ministry of foreign affairs japan,74.4,95.2,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Japan
fundacion arcangeles,fundacion barco,74.3,92.9,fundacion arcangeles,partial_ratio,Fundación Arcángeles,Fundación Barco
ministry of interior czech republic,ministry of interior france,74.2,90.2,ministry of interior czech republic,partial_ratio,Ministry of Interior - Czech Republic,Ministry of Interior - France
embassy of canada to chile,embassy of canada to lebanon,74.1,93.9,embassy of canada to lebanon,partial_ratio,Embassy of Canada to Chile,Embassy of Canada to Lebanon
ministerio da educacao,ministerio de educacion nacional,74.1,90.9,ministerio da educacao,partial_ratio,Ministério da Educação,Ministerio de Educación Nacional
ministry of interior austria,ministry of interior libya,74.1,91.7,ministry of interior austria,partial_ratio,Ministry of Interior - Austria,Ministry of Interior - Libya
ministry of interior austria,ministry of interior spain,74.1,91.7,ministry of interior spain,partial_ratio,Ministry of Interior - Austria,Ministry of Interior - Spain
ministry of foreign affairs denmark,ministry of foreign affairs kazakhstan,74.0,90.6,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Kazakhstan
ministry of foreign affairs greece,ministry of foreign affairs netherlands,74.0,90.6,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs latvia,ministry of foreign affairs netherlands,74.0,90.3,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Netherlands
embassy of canada,embassy of canada in khartoum,73.9,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada in Khartoum
embassy of canada,embassy of canada to colombia,73.9,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada to Colombia
ministerio de transporte,ministerio dos transportes e comunicacoes,73.8,91.7,ministerio de transporte,partial_ratio,Ministerio De Transporte|Ministerio de Transporte,Ministério dos Transportes e Comunicações
ministry of public works kuwait,ministry of public works transport,73.8,91.2,ministry of public works transport,partial_ratio,Ministry of Public Works - Kuwait,Ministry of Public Works & Transport
ministry of transport and roads,ministry of transportation,73.7,92.0,ministry of transport and roads,partial_ratio,Ministry of Transport and Roads,Ministry of Transportation
hamad bin khalifa university college of law,hamad bin khalifa university college of science and engineering,73.6,96.4,hamad bin khalifa university college of science and engineering,partial_ratio,Hamad Bin Khalifa University College of Law,Hamad Bin Khalifa University College of Science and Engineering
united nations development programme emergency response division,united nations development programme sudan,73.6,93.7,united nations development programme sudan,partial_ratio,United Nations Development Programme Emergency Response Division,United Nations Development Programme Sudan
international development association,international development group,73.5,91.2,international development association,partial_ratio,International Development Association,International Development Group
ministry of foreign affairs and emigrants,ministry of foreign affairs and international cooperation,73.5,92.1,ministry of foreign affairs and emigrants,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and International Cooperation
ministry of health angola,ministry of health italy,73.5,90.9,ministry of health italy,partial_ratio,Ministry of Health - Angola,Ministry of Health - Italy
ministry of health angola,ministry of health libya,73.5,90.9,ministry of health libya,partial_ratio,Ministry of Health - Angola,Ministry of Health - Libya
ministry of health angola,ministry of health spain,73.5,93.3,ministry of health spain,partial_ratio,Ministry of Health - Angola,Ministry of Health - Spain
plan international belgium,plan international mali,73.5,90.5,plan international mali,partial_ratio,PLAN International Belgium,Plan International Mali
plan international denmark,plan international mali,73.5,90.5,plan international mali,partial_ratio,Plan International Denmark,Plan International Mali
plan international finland,plan international mali,73.5,90.9,plan international finland,partial_ratio,Plan International Finland,Plan International Mali
plan international mali,plan international sverige,73.5,90.5,plan international sverige,partial_ratio,Plan International Mali,Plan International Sverige
ministry of foreign affairs and trade hungary,ministry of foreign affairs latvia,73.4,92.1,ministry of foreign affairs and trade hungary,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Latvia
royal norwegian emabssy nairobi,royal norwegian embassy cairo,73.3,93.1,royal norwegian embassy cairo,partial_ratio,"Royal Norwegian Emabssy, Nairobi","Royal Norwegian Embassy, Cairo"
government of australia,government of chad,73.2,90.9,government of australia,partial_ratio,Government of Australia,Government of Chad
ministry of agriculture and food security,ministry of agriculture france,73.2,92.9,ministry of agriculture france,partial_ratio,Ministry of Agriculture and Food Security,Ministry of Agriculture - France
universitat politecnica de catalunya,universitat politecnica de valencia,73.2,90.6,universitat politecnica de catalunya,partial_ratio,Universitat Politècnica de Catalunya,Universitat Politècnica de València
center for international policy,center for international private enterprise,73.0,91.5,center for international private enterprise,partial_ratio,Center for International Policy,Center for International Private Enterprise
christian blind mission australia,christian blind mission italia,73.0,90.9,christian blind mission italia,partial_ratio,Christian Blind Mission Australia,Christian Blind Mission Italia
ministry of foreign affairs and emigrants,ministry of foreign affairs japan,73.0,95.2,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Japan
ministry of foreign affairs denmark,ministry of foreign affairs netherlands,73.0,90.6,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs estonia,ministry of foreign affairs netherlands,73.0,90.9,ministry of foreign affairs netherlands,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs estonia,ministry of foreign affairs south korea,73.0,92.3,ministry of foreign affairs south korea,partial_ratio,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - South Korea
royal norwegian embassy cairo,royal norwegian embassy in jakarta,73.0,92.6,royal norwegian embassy cairo,partial_ratio,"Royal Norwegian Embassy, Cairo",Royal Norwegian Embassy in Jakarta
united nations development programme south sudan common humanitarian fund,united nations development programme sudan,73.0,95.1,united nations development programme sudan,partial_ratio,United Nations Development Programme South Sudan Common Humanitarian Fund,United Nations Development Programme Sudan
agency for technical cooperation and development,agency for technical cooperation tunisia,72.7,91.9,agency for technical cooperation and development,partial_ratio,Agency for Technical Cooperation and Development,Agency for Technical Cooperation - Tunisia
federal ministry of agriculture and forestry,federal ministry of agriculture forestry regions and water management austria,72.7,95.2,federal ministry of agriculture forestry regions and water management austria,partial_ratio,Federal Ministry of Agriculture and Forestry,"Federal Ministry of Agriculture, Forestry, Regions and Water Management - Austria"
international aid services,international services development group,72.7,91.7,international services development group,partial_ratio,International Aid Services,International Services Development Group
ministerio de educacion nacional,ministerio de educacion nacional y formacion profesional,72.7,100.0,ministerio de educacion nacional y formacion profesional,partial_ratio,Ministerio de Educación Nacional,Ministerio de Educación Nacional y Formación Profesional
ministry of energy and water,ministry of energy water resources and irrigation,72.7,92.3,ministry of energy and water,partial_ratio,Ministry of Energy and Water,"Ministry of Energy, Water Resources and Irrigation"
ministry of interior,ministry of interior czech republic,72.7,100.0,ministry of interior czech republic,partial_ratio,Ministry of Interior,Ministry of Interior - Czech Republic
ministry of the environment and food denmark,ministry of the environment italy,72.7,93.5,ministry of the environment italy,partial_ratio,Ministry of the Environment and Food - Denmark,Ministry of the Environment - Italy
mugarik gabe,mugarik gabe nafarroa,72.7,100.0,mugarik gabe,partial_ratio,Mugarik Gabe,Mugarik Gabe Nafarroa
veterinaires sans frontieres europa,veterinaires sans frontieres international,72.7,90.6,veterinaires sans frontieres international,partial_ratio,Veterinaires Sans Frontieres Europa,Vétérinaires Sans Frontières International
world vision,world vision colombia,72.7,100.0,world vision,partial_ratio,World Vision International,World Vision Colombia
ministerio das obras publicas,ministerio das obras publicas habitacao e urbanismo,72.5,100.0,ministerio das obras publicas,partial_ratio,Ministério das Obras Públicas,Ministério Das Obras Publicas Habitacão e Urbanismo
ministry of foreign affairs and trade hungary,ministry of foreign affairs denmark,72.5,90.6,ministry of foreign affairs denmark,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs and trade hungary,ministry of foreign affairs estonia,72.5,90.6,ministry of foreign affairs estonia,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Estonia
federal ministry of health,federal ministry of the interior,72.4,91.7,federal ministry of health,partial_ratio,Federal Ministry of Health,Federal Ministry of the Interior
ministry of health and population,ministry of health angola,72.4,91.3,ministry of health and population,partial_ratio,Ministry of Health and Population,Ministry of Health - Angola
ministry of health and sanitation,ministry of health angola,72.4,91.3,ministry of health and sanitation,partial_ratio,Ministry of Health and Sanitation,Ministry of Health - Angola
union des societes cooperatives des producteur,union des societes cooperatives des producteurs cerealiers du cercle de baraoueli,72.4,100.0,union des societes cooperatives des producteur,partial_ratio,Union des sociétés coopératives des producteur,Union des Sociétés Coopératives des Producteurs Céréaliers du Cercle de Baraouéli
united nations development programme emergency response division,united nations development programme mali,72.4,95.0,united nations development programme mali,partial_ratio,United Nations Development Programme Emergency Response Division,United Nations Development Programme Mali
embassy of canada,embassy of canada to indonesia,72.3,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada to Indonesia
ministry of science and technology,ministry of science technology and higher education portugal,72.3,93.8,ministry of science and technology,partial_ratio,Ministry of Science and Technology,"Ministry of Science, Technology and Higher Education - Portugal"
united nations children s fund canada committee,united nations children s fund sudan,72.3,94.3,united nations children s fund canada committee,partial_ratio,United Nations Children's Fund - Canada Committee,United Nations Children's Fund Sudan
ministere de l enseignement superieur et de la recherche,ministere de l’enseignement superieur et de la recherche scientifique burundi,72.2,98.2,ministere de l’enseignement superieur et de la recherche scientifique burundi,partial_ratio,Ministère de l'Enseignement supérieur et de la Recherche,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
government of flanders belgium,government of france,72.0,90.0,government of flanders belgium,partial_ratio,Government of Flanders - Belgium,Government of France
ministry of foreign affairs and emigrants,ministry of foreign affairs greece,72.0,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Greece
ministry of foreign affairs and emigrants,ministry of foreign affairs latvia,72.0,92.1,ministry of foreign affairs and emigrants,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs and emigrants,ministry of foreign affairs norway,72.0,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Norway
ministry of foreign affairs and emigrants,ministry of foreign affairs poland,72.0,95.4,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Poland
ministry of foreign affairs czech republic,ministry of foreign affairs japan,72.0,91.8,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Japan
ministry of health angola,ministry of health jordan,72.0,91.3,ministry of health angola,partial_ratio,Ministry of Health - Angola,Ministry of Health - Jordan
ministry of health angola,ministry of health uganda,72.0,91.3,ministry of health uganda,partial_ratio,Ministry of Health - Angola,Ministry of Health - Uganda
united nations development programme,united nations development programme emergency response division,72.0,100.0,united nations development programme,partial_ratio,United Nations Development Programme,United Nations Development Programme Emergency Response Division
ministry of agriculture,ministry of agriculture and food security,71.9,100.0,ministry of agriculture and food security,partial_ratio,Ministry of Agriculture,Ministry of Agriculture and Food Security
royal norwegian embassy beirut,royal norwegian embassy in jakarta,71.9,90.9,royal norwegian embassy beirut,partial_ratio,"Royal Norwegian Embassy, Beirut",Royal Norwegian Embassy in Jakarta
government of israel,government of syria,71.8,91.9,government of syria,partial_ratio,Government of Israel,Government of Syria
ministry of the environment and energy greece,ministry of the environment italy,71.8,93.5,ministry of the environment italy,partial_ratio,Ministry of the Environment and Energy - Greece,Ministry of the Environment - Italy
united nations,united nations foundation,71.8,100.0,united nations,partial_ratio,United Nations,United Nations Foundation
united nations,united nations university,71.8,100.0,united nations,partial_ratio,United Nations,United Nations University
united nations,united nations volunteers,71.8,100.0,united nations,partial_ratio,United Nations,United Nations Volunteers
university of florida,university of oslo,71.8,91.4,university of oslo,partial_ratio,University of Florida,University of Oslo
african development bank,african development solutions,71.7,90.9,african development bank,partial_ratio,African Development Bank,African Development Solutions
embassy of qatar in china,embassy of qatar in khartoum,71.7,91.7,embassy of qatar in khartoum,partial_ratio,Embassy of Qatar in China,Embassy of Qatar in Khartoum
ministry of finance drc,ministry of finance of somalia,71.7,93.0,ministry of finance drc,partial_ratio,Ministry of Finance - DRC,Ministry of Finance of Somalia
united nations development programme emergency response division,united nations development programme syria,71.7,93.7,united nations development programme syria,partial_ratio,United Nations Development Programme Emergency Response Division,United Nations Development Programme Syria
unite de sante internationale,universite de montreal unite de sante internationale,71.6,100.0,unite de sante internationale,partial_ratio,Unité de santé internationale,Université de Montréal - Unité de santé internationale
embassy of canada to chile,embassy of canada to indonesia,71.4,91.7,embassy of canada to indonesia,partial_ratio,Embassy of Canada to Chile,Embassy of Canada to Indonesia
government of azerbaijan,government of chad,71.4,90.9,government of chad,partial_ratio,Government of Azerbaijan,Government of Chad
government of luxembourg,government of mali,71.4,90.9,government of mali,partial_ratio,Government of Luxembourg,Government of Mali
international medical cooperation committee,international medical corps,71.4,94.3,international medical corps,partial_ratio,International Medical Cooperation Committee,International Medical Corps
ministry of foreign affairs and international trade,ministry of foreign affairs japan,71.4,95.2,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Japan
united nations children s fund,united nations children s fund united states committee,71.4,100.0,united nations children s fund,partial_ratio,United Nations Children's Fund,United Nations Children's Fund - United States Committee
united nations children s fund belgium committee,united nations children s fund sudan,71.4,92.5,united nations children s fund sudan,partial_ratio,United Nations Children's Fund - Belgium Committee,United Nations Children's Fund Sudan
ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,ministere de l enseignement superieur et de la recherche,71.3,97.2,ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,partial_ratio,Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle,Ministère de l'Enseignement supérieur et de la Recherche
government of chad,government of cote d ivoire,71.1,90.9,government of chad,partial_ratio,Government of Chad,Government of Cote d'Ivoire
government of niger,government of sierra leone,71.1,91.9,government of sierra leone,partial_ratio,Government of Niger,Government of Sierra Leone
government of saudi arabia,government of syria,71.1,91.4,government of syria,partial_ratio,Government of Saudi Arabia,Government of Syria
ministry of foreign affairs and emigrants,ministry of foreign affairs romania,71.1,92.3,ministry of foreign affairs romania,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Romania
ministry of foreign affairs and expatriates,ministry of foreign affairs japan,71.1,95.2,ministry of foreign affairs japan,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Japan
ministry of foreign affairs czech republic,ministry of foreign affairs greece,71.1,92.3,ministry of foreign affairs czech republic,partial_ratio,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Greece
ministry of foreign affairs czech republic,ministry of foreign affairs latvia,71.1,90.3,ministry of foreign affairs czech republic,partial_ratio,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs czech republic,ministry of foreign affairs norway,71.1,90.3,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Norway
ministry of health and social solidarity greece,ministry of health and sports,71.1,92.6,ministry of health and sports,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health and Sports
pan american health organization,pan american health organization world health organization,71.1,100.0,pan american health organization world health organization,partial_ratio,Pan American Health Organization,Pan-American Health Organization-World Health Organization
action contre la faim international,action contre la faim spain,71.0,94.1,action contre la faim international,partial_ratio,Action Contre la Faim International,Action Contre la Faim - Spain
ministry of foreign affairs and trade hungary,ministry of foreign affairs norway,70.9,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Norway
government of australia,government of australian capital territory,70.8,100.0,government of australia,partial_ratio,Government of Australia,Government of Australian Capital Territory
ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,ministere de l’enseignement superieur et de la recherche scientifique burundi,70.8,91.7,ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,partial_ratio,Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
ministry of public works transport,ministry of public works transport and communications portugal,70.8,100.0,ministry of public works transport,partial_ratio,Ministry of Public Works & Transport,"Ministry of Public Works, Transport and Communications - Portugal"
royal norwegian embassy,royal norwegian embassy in lisbon portugal,70.8,100.0,royal norwegian embassy,partial_ratio,Royal Norwegian Embassy,"Royal Norwegian Embassy in Lisbon, Portugal"
ministry of planning and finance,ministry of planning and international cooperation,70.7,91.8,ministry of planning and international cooperation,partial_ratio,Ministry of Planning and Finance,Ministry of Planning and International Cooperation
african development foundation united states,african development fund,70.6,95.8,african development fund,partial_ratio,African Development Foundation - United States,African Development Fund
fundacion arcangeles,fundacion esar,70.6,92.3,fundacion arcangeles,partial_ratio,Fundación Arcángeles,Fundación ESAR
ministry of foreign affairs and international trade,ministry of foreign affairs poland,70.6,95.4,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Poland
ministry of health,ministry of health and population,70.6,100.0,ministry of health and population,partial_ratio,Ministry of Health,Ministry of Health and Population
ministry of health,ministry of health and sanitation,70.6,100.0,ministry of health and sanitation,partial_ratio,Ministry of Health,Ministry of Health and Sanitation
ministry of health,ministry of health czech republic,70.6,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health - Czech Republic
plan international australia,plan international mali,70.6,93.0,plan international mali,partial_ratio,Plan International Australia,Plan International Mali
world vision,world vision australia,70.6,100.0,world vision,partial_ratio,World Vision International,World Vision Australia
ministry of foreign affairs and expatriates,ministry of foreign affairs and trade hungary,70.5,90.0,ministry of foreign affairs and expatriates,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs and Trade - Hungary
ministere de l environnement de l agriculture et de l elevage burundi,ministere de l environnment et de l eau,70.4,91.9,ministere de l environnement de l agriculture et de l elevage burundi,partial_ratio,"Ministère de l'environnement, de l'agriculture et de l'élevage - Burundi",Ministere de l'Environnment et de l'Eau
ministry of health and sports,ministry of health uganda,70.4,93.6,ministry of health uganda,partial_ratio,Ministry of Health and Sports,Ministry of Health - Uganda
ministry of public health and population,ministry of public health qatar,70.4,93.1,ministry of public health and population,partial_ratio,Ministry of Public Health and Population,Ministry of Public Health - Qatar
ministry of transport and communications,ministry of transport and roads,70.4,91.5,ministry of transport and communications,partial_ratio,Ministry of Transport and Communications,Ministry of Transport and Roads
government of chad,government of haiti,70.3,94.1,government of chad,partial_ratio,Government of Chad,Government of Haiti
ministry of foreign affairs and international cooperation,ministry of foreign affairs latvia,70.3,92.1,ministry of foreign affairs and international cooperation,partial_ratio,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Latvia
ministerio da justica,ministerio de justicia y del derecho,70.2,92.7,ministerio da justica,partial_ratio,Ministério da Justiça,Ministerio de Justicia y del Derecho
ministry of industry,ministry of industry and energy spain,70.2,100.0,ministry of industry and energy spain,partial_ratio,Ministry of Industry,Ministry of Industry and Energy - Spain
united nations development programme mali,united nations development programme south sudan common humanitarian fund,70.2,94.9,united nations development programme mali,partial_ratio,United Nations Development Programme Mali,United Nations Development Programme South Sudan Common Humanitarian Fund
ministry of foreign affairs and expatriates,ministry of foreign affairs greece,70.1,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Greece
ministry of foreign affairs and expatriates,ministry of foreign affairs latvia,70.1,92.1,ministry of foreign affairs and expatriates,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Latvia
