cleaned_name,n_raw_variants,raw_variants
ministere de la sante publique et de la population,1,Ministère de la Santé Publique et de la Population
ministere de la sante publique hygiene et preventions,1,"Ministère de la Santé Publique, Hygiène et Préventions"
ministere de la securite et de la protection civile,1,Ministère de la Sécurité et de la Protection Civile
ministere de la solidarite et de la lutte contre la pauvrete,1,Ministère de la Solidarité et de la Lutte contre la Pauvreté
ministere de la solidarite nationale des affairs sociales des droits de la personne humaine et du genre burundi,1,"Ministère de la Solidarite Nationale, des Affairs Sociales, des Droits de la Personne Humaine et du Genre - Burundi"
ministere de l’action humanitaire et de la reconciliation nationale,1,Ministère de l’Action humanitaire et de la Réconciliation Nationale
ministere de l’administration territoriale et de la decentralisation,1,Ministère de l’Administration territoriale et de la Décentralisation
ministere de l’artisanat de la culture de l industrie hoteliere et du tourisme,1,"Ministère de l’Artisanat, de la Culture de l'Industrie Hôtelière et du Tourisme"
ministere de l’enseignement superieur et de la recherche scientifique burundi,1,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
ministere de l’entreprenariat national de l’emploi et de la formation professionnelle,1,"Ministère de l’Entreprenariat National, de l’Emploi et de la Formation Professionnelle"
ministere de l’environnement,1,Ministère de l’Environnement
ministere de l’environnement de l’assainissement et du developpement durable,1,"Ministere de l’Environnement, de l’Assainissement et du Développement Durable"
ministere de l’urbanisme de l’habitat des domaines de l’amenagement du territoire et de la population,1,"Ministère de l’Urbanisme, de l’Habitat, des Domaines, de l’Aménagement du Territoire et de la Population"
ministere des affaires etrangeres,1,Ministère des Affaires Étrangères
ministere des affaires etrangeres et de la cooperation au developpement burundi,1,Ministère des Affaires Etrangères et de la Coopération au Développement - Burundi
ministere des affaires etrangeres et de la cooperation internationale,1,Ministère des Affaires étrangères et de la Coopération Internationale
ministere des finances du budget et de la planification economique burundi,1,"Ministère des Finances, du Budget et de la Planification Economique - Burundi"
ministere des infrastructures economiques,1,Ministère des Infrastructures Economiques
ministere des infrastructures et du desenclavement,1,Ministère des Infrastructures et du Désenclavement
ministere des maliens de l exterior et de l integration africaine,1,Ministere des Maliens de l'Exterior et de l'integration Africaine
ministere des mines,1,Ministère des Mines
ministere des mines de l energie et de l eau,1,"Ministère des Mines, de l'Energie et de l'Eau"
ministere des mines et de la geologie,1,Ministère des Mines et de la Géologie
ministere des postes et telecommunications,1,Ministère des Postes et Télécommunications
ministere des ressources animales et halieutiques,1,Ministère des Ressources Animales et Halieutiques
ministere des transports des travaux publics et de l’equipement burundi,1,"Ministère des Transports, des Travaux Publics et de l’Equipement - Burundi"
ministere des transports et des infrastructures,1,Ministère des Transports et des Infrastructures
ministere des travaux publics et de l entretien routier,1,Ministère des Travaux Publics et de l'Entretien Routier
ministere des travaux publics transports et communications,1,"Ministère des Travaux Publics, Transports et Communications"
ministere du commerce et de l industrie,1,Ministère du Commerce et de l'Industrie
ministere du developpement de l energie et des ressources,1,Ministère du Développement de l'Énergie et des Ressources
ministere du developpement rural,1,Ministère du Développement Rural
ministere du developpement social de la solidarite et des personnes agees,1,Ministère du Développement Social de la Solidarité et des personnes agées
ministere du tourisme,1,Ministère du Tourisme
ministere du travail de la fonction publique et du dialogue social,1,Ministère du Travail de la Fonction Publique et du Dialogue Social
ministere mines petroles et energies,1,"Ministère Mines, Pétroles et Energies"
ministerio da economia plano e integracao regional,1,"Ministério da Economia, Plano e Integração Regional"
ministerio da educacao,1,Ministério da Educação
ministerio da educacao nacional ciencia cultura juventude e desportos,1,"Ministério da Educação Nacional, Ciência, Cultura, Juventude e Desportos"
ministerio da educacao nacional e ensino superior,1,Ministério da Educação Nacional e Ensino Superior
ministerio da energia e industria,1,Ministério da Energia e Indústria
ministerio da infraestrutura,1,Ministério da Infraestrutura
ministerio da justica,1,Ministério da Justiça
ministerio da justica e dos direitos humanos,1,Ministério da Justiça e dos Direitos Humanos
ministerio da mulher familia e solidariedade social,1,Ministério da Mulher Família e Solidariedade Social
ministerio da saude,1,Ministério da Saúde
ministerio da saude publica,1,Ministério da Saúde Pública
ministerio da solidariedade social e inclusao,1,Ministério da Solidariedade Social e Inclusão
ministerio das financas,1,Ministério das Finanças
ministerio das obras publicas,1,Ministério das Obras Públicas
ministerio das obras publicas habitacao e urbanismo,1,Ministério Das Obras Publicas Habitacão e Urbanismo
ministerio das pescas,1,Ministério das Pescas
ministerio de agricultura y desarrollo rural,1,Ministerio de Agricultura y Desarrollo Rural
ministerio de ambiente vivienda y desarrollo territorial,1,"Ministerio de Ambiente, Vivienda y Desarrollo Territorial"
ministerio de ambiente y desarrollo sostenible,1,Ministerio de Ambiente y Desarrollo Sostenible
ministerio de cultura de colombia,1,Ministerio de Cultura de Colombia
ministerio de economia y finanzas spain,1,Ministerio de Economía y Finanzas - Spain
ministerio de educacion nacional,1,Ministerio de Educación Nacional
ministerio de educacion nacional y formacion profesional,1,Ministerio de Educación Nacional y Formación Profesional
ministerio de hacienda y credito publico,1,Ministerio de Hacienda y Crédito Público
ministerio de justicia y del derecho,1,Ministerio de Justicia y del Derecho
ministerio de salud y proteccion social,1,Ministerio de Salud y Protección Social
ministerio de transporte,2,Ministerio De Transporte|Ministerio de Transporte
ministerio de vivienda ciudad y territorio,1,"Ministerio de Vivienda, Ciudad y Territorio"
ministerio do equipamento social,1,Ministério do Equipamento Social
ministerio do petroleo e minerais,1,Ministério do Petróleo e Minerais
ministerio dos recursos naturais,1,Ministério dos Recursos Naturais
ministerio dos transportes e comunicacoes,1,Ministério dos Transportes e Comunicações
ministra dos negocios estrangeiros e cooperacao,1,Ministra dos Negócios Estrangeiros e Cooperação
ministre de l education nationale et de l alphabetisation,1,Ministre de l'Education Nationale et de l'Alphabétisation
ministre de l hydraulique de l energie et des mines burundi,1,"Ministre de l'Hydraulique, de l'Energie et des Mines - Burundi"
ministre de la culture et de la communication,1,Ministre de la Culture et de la Communication
ministre de la promotion de la femme de la famille et de la protection de l’enfant,1,Ministre de la Promotion de la Femme de la Famille et de la Protection de l’Enfant
ministre des eaux forets chasse et peche,1,"Ministre des Eaux, Forêts, Chasse et Pêche"
ministre des travaux publics et de i entretien routier,1,Ministre des Travaux Publics et de I'Entretien Routier
ministre des travaux publics transports et communications,1,"Ministre des Travaux Publics, Transports et Communications"
ministro das financas,1,Ministro das Finanças
ministro de asuntos exteriores,1,Ministro de Asuntos Exteriores
ministro dos transportes e comunicacoes,1,Ministro dos Transportes e Comunicações
ministry for europe and foreign affairs france,1,Ministry for Europe and Foreign Affairs - France
ministry for foreign affairs finland,1,Ministry for Foreign Affairs - Finland
ministry for foreign affairs iceland,1,Ministry for Foreign Affairs - Iceland
ministry for foreign affairs sweden,1,Ministry for Foreign Affairs - Sweden
ministry for innovation and technology hungary,1,Ministry for Innovation and Technology - Hungary
ministry of agriculture,1,Ministry of Agriculture
ministry of agriculture and agrarian reform syria,1,Ministry of Agriculture and Agrarian Reform- Syria
ministry of agriculture and animal resources rwanda,1,Ministry of Agriculture and Animal Resources - Rwanda
ministry of agriculture and food security,1,Ministry of Agriculture and Food Security
ministry of agriculture and food security south sudan,1,Ministry of Agriculture and Food Security (South Sudan)
ministry of agriculture and irrigation,1,Ministry of Agriculture and Irrigation
ministry of agriculture fisheries and food spain,1,"Ministry of Agriculture, Fisheries, and Food - Spain"
ministry of agriculture forestry and fisheries japan,1,"Ministry of Agriculture, Forestry and Fisheries - Japan"
ministry of agriculture forestry and food security,1,"Ministry of Agriculture, Forestry and Food Security"
ministry of agriculture france,1,Ministry of Agriculture - France
ministry of agriculture hungary,1,Ministry of Agriculture - Hungary
ministry of agriculture livestock and irrigation,1,"Ministry of Agriculture, Livestock and Irrigation"
ministry of agriculture rural development and fisheries portugal,1,"Ministry of Agriculture, Rural Development and Fisheries - Portugal"
ministry of animal resources and fisheries burkina faso,1,Ministry of Animal Resources and Fisheries - Burkina Faso
ministry of armed forces france,1,Ministry of Armed Forces - France
ministry of border affairs,1,Ministry of Border Affairs
ministry of civil service and administrative reform,1,Ministry of Civil Service and Administrative Reform
ministry of climate and environment norway,1,Ministry of Climate and Environment - Norway
ministry of climate and environment poland,1,Ministry of Climate and Environment - Poland
ministry of communication and information technology,1,Ministry of Communication and Information Technology
ministry of construction,1,Ministry of Construction
ministry of cooperatives and rural development,1,Ministry of Cooperatives and Rural Development
ministry of culture,1,Ministry of Culture
ministry of culture national heritage and sport poland,1,"Ministry of Culture, National Heritage and Sport - Poland"
ministry of defence italy,1,Ministry of Defence - Italy
ministry of defense belgium,1,Ministry of Defense - Belgium
ministry of defense france,1,Ministry of Defense - France
ministry of defense norway,1,Ministry of Defense - Norway
ministry of defense slovenia,1,Ministry of Defense - Slovenia
ministry of defense spain,1,Ministry of Defense - Spain
ministry of development competitiveness and shipping greece,1,"Ministry of Development, Competitiveness and Shipping - Greece"
ministry of economy and finance,1,Ministry of Economy and Finance
ministry of economy and finance south korea,1,Ministry of Economy and Finance - South Korea
ministry of economy finance and industrial and digital sovereignty france,1,"Ministry of Economy, Finance and Industrial and Digital Sovereignty - France"
ministry of economy trade and enterprise spain,1,"Ministry of Economy, Trade and Enterprise - Spain"
ministry of education,1,Ministry of Education
ministry of education and higher education,1,Ministry of Education and Higher Education
ministry of education and religious affairs greece,1,Ministry of Education and Religious Affairs - Greece
ministry of education and research norway,1,Ministry of Education and Research - Norway
ministry of education and scientific research romania,1,Ministry of Education and Scientific Research - Romania
ministry of education and sports,1,Ministry of Education and Sports
ministry of education higher education and research france,1,"Ministry of Education, Higher Education and Research - France"
ministry of education life long learning and religious affairs greece,1,"Ministry of Education, Life Long Learning, and Religious Affairs - Greece"
ministry of education saudi arabia,1,Ministry of Education - Saudi Arabia
ministry of education science and technology,1,"Ministry of Education, Science and Technology"
ministry of education science research and sport slovakia,1,"Ministry of Education, Science, Research and Sport - Slovakia"
ministry of education youth and sports czech republic,1,"Ministry of Education, Youth, and Sports - Czech Republic"
ministry of electric power,1,Ministry of Electric Power
ministry of electricity energy and water,1,"Ministry of Electricity, Energy and Water"
ministry of employment denmark,1,Ministry of Employment - Denmark
ministry of employment labour and social security sierra leone,1,"Ministry of Employment, Labour and Social Security - Sierra Leone"
ministry of energy,1,Ministry of Energy
ministry of energy and water,1,Ministry of Energy and Water
ministry of energy norwary,1,Ministry of Energy - Norwary
ministry of energy water resources and irrigation,1,"Ministry of Energy, Water Resources and Irrigation"
ministry of enterprises and made in italy italy,1,Ministry of Enterprises and Made in Italy - Italy
ministry of environment,1,Ministry of Environment
ministry of environment territory planning and regional development portugal,1,"Ministry of Environment, Territory Planning and Regional Development - Portugal"
ministry of environmental conservation and forestry,1,Ministry of Environmental Conservation and Forestry
ministry of family and human rights development,1,Ministry of Family and Human Rights Development
ministry of federal affairs and general administration,1,Ministry of Federal Affairs and General Administration
ministry of finance,1,Ministry of Finance
ministry of finance and economic development somaliland,1,Ministry of Finance and Economic Development - Somaliland
ministry of finance and economic planning,1,Ministry of Finance and Economic Planning
ministry of finance and economic planning sudan,1,Ministry of Finance and Economic Planning - Sudan
ministry of finance drc,1,Ministry of Finance - DRC
ministry of finance norway,1,Ministry of Finance - Norway
ministry of finance of somalia,1,Ministry of Finance of Somalia
ministry of finance senegal,1,Ministry of Finance - Senegal
ministry of finance sierra leone,1,Ministry of Finance Sierra Leone
ministry of fish wealth,1,Ministry of Fish Wealth
ministry of fisheries and marine resources,1,Ministry of Fisheries and Marine Resources
ministry of food and agriculture germany,1,Ministry of Food and Agriculture - Germany
ministry of foreign affairs,1,Ministry of Foreign Affairs
ministry of foreign affairs and emigrants,1,Ministry of Foreign Affairs and Emigrants
ministry of foreign affairs and expatriates,1,Ministry of Foreign Affairs and Expatriates
ministry of foreign affairs and international cooperation,1,Ministry of Foreign Affairs and International Cooperation
ministry of foreign affairs and international cooperation italy,1,Ministry of Foreign Affairs and International Cooperation - Italy
ministry of foreign affairs and international trade,1,Ministry of Foreign Affairs and International Trade
ministry of foreign affairs and trade hungary,1,Ministry of Foreign Affairs and Trade - Hungary
ministry of foreign affairs belgium,1,Ministry of Foreign Affairs - Belgium
ministry of foreign affairs czech republic,1,Ministry of Foreign Affairs - Czech Republic
ministry of foreign affairs denmark,1,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs estonia,1,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs european union and cooperation spain,1,"Ministry of Foreign Affairs, European Union and Cooperation - Spain"
ministry of foreign affairs greece,1,Ministry of Foreign Affairs - Greece
ministry of foreign affairs japan,1,Ministry of Foreign Affairs - Japan
ministry of foreign affairs kazakhstan,1,Ministry of Foreign Affairs - Kazakhstan
ministry of foreign affairs latvia,1,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs lithuania,1,Ministry of Foreign Affairs - Lithuania
ministry of foreign affairs netherlands,1,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs norway,1,Ministry of Foreign Affairs - Norway
ministry of foreign affairs poland,1,Ministry of Foreign Affairs - Poland
ministry of foreign affairs portugal,1,Ministry of Foreign Affairs - Portugal
ministry of foreign affairs romania,1,Ministry of Foreign Affairs - Romania
ministry of foreign affairs south korea,1,Ministry of Foreign Affairs - South Korea
ministry of foreign and european affairs luxembourg,1,Ministry of Foreign and European Affairs - Luxembourg
ministry of foreign and european affairs slovakia,1,Ministry of Foreign and European Affairs - Slovakia
ministry of foreign and european affairs slovenia,1,Ministry of Foreign and European Affairs - Slovenia
ministry of foreign trade and foreign investment cuba,1,Ministry of Foreign Trade and Foreign Investment - Cuba
ministry of health,1,Ministry of Health
ministry of health and care services norway,1,Ministry of Health and Care Services - Norway
ministry of health and population,1,Ministry of Health and Population
ministry of health and public hygiene burkina faso,1,Ministry of Health and Public Hygiene - Burkina Faso
ministry of health and sanitation,1,Ministry of Health and Sanitation
ministry of health and social solidarity greece,1,Ministry of Health and Social Solidarity - Greece
ministry of health and sports,1,Ministry of Health and Sports
ministry of health angola,1,Ministry of Health - Angola
ministry of health czech republic,1,Ministry of Health - Czech Republic
ministry of health djibouti,1,Ministry of Health - Djibouti
ministry of health greece,1,Ministry of Health - Greece
ministry of health italy,1,Ministry of Health - Italy
ministry of health jordan,1,Ministry of Health - Jordan
ministry of health libya,1,Ministry of Health - Libya
ministry of health puntland,1,Ministry of Health - Puntland
ministry of health spain,1,Ministry of Health - Spain
ministry of health uganda,1,Ministry of Health - Uganda
ministry of higher education and scientific research,1,Ministry of Higher Education and Scientific Research
ministry of higher education and scientific research sudan,1,Ministry of Higher Education and Scientific Research - Sudan
ministry of housing and urban planning,1,Ministry of Housing and Urban Planning
ministry of human capacities hungary,1,Ministry of Human Capacities - Hungary
ministry of industry,1,Ministry of Industry
ministry of industry and energy spain,1,Ministry of Industry and Energy - Spain
ministry of industry and trade czech republic,1,Ministry of Industry and Trade - Czech Republic
ministry of industry commerce and supplies,1,"Ministry of Industry, Commerce and Supplies"
ministry of infrastructure chad,1,Ministry of Infrastructure - Chad
ministry of interior,1,Ministry of Interior
ministry of interior and municipalities,1,Ministry of Interior and Municipalities
ministry of interior austria,1,Ministry of Interior - Austria
ministry of interior czech republic,1,Ministry of Interior - Czech Republic
ministry of interior france,1,Ministry of Interior - France
ministry of interior libya,1,Ministry of Interior - Libya
ministry of interior slovakia,1,Ministry of Interior - Slovakia
ministry of interior spain,1,Ministry of Interior - Spain
ministry of internal administration portugal,1,Ministry of Internal Administration - Portugal
ministry of internal affairs liberia,1,Ministry of Internal Affairs - Liberia
ministry of irrigation,1,Ministry of Irrigation
ministry of irrigation and water resources,1,Ministry of Irrigation and Water Resources
ministry of justice,1,Ministry of Justice
ministry of justice and public security norway,1,Ministry of Justice and Public Security - Norway
ministry of justice romania,1,Ministry of Justice - Romania
ministry of labor and inclusion norway,1,Ministry of Labor and Inclusion - Norway
ministry of labour and social affairs,1,Ministry of Labour and Social Affairs
ministry of labour family social protection and elderly romania,1,"Ministry of Labour, Family, Social Protection and Elderly - Romania"
ministry of labour migration and social security,1,"Ministry of Labour, Migration and Social Security"
ministry of labour migration and social security spain,1,"Ministry of Labour, Migration and Social Security - Spain"
ministry of labour solidarity and social security portugal,1,"Ministry of Labour, Solidarity and Social Security - Portugal"
ministry of labour youth and sports puntland,1,"Ministry of Labour, Youth and Sports - Puntland"
ministry of legal affairs,1,Ministry of Legal Affairs
ministry of livestock fisheries and rural development,1,"Ministry of Livestock, Fisheries and Rural Development"
ministry of livestock mauritania,1,Ministry of Livestock - Mauritania
ministry of local administration,1,Ministry of Local Administration
ministry of local government and regional development norway,1,Ministry of Local Government and Regional Development - Norway
ministry of mines and mineral resources,1,Ministry of Mines and Mineral Resources
ministry of national defense greece,1,Ministry of National Defense - Greece
ministry of national defense portugal,1,Ministry of National Defense - Portugal
ministry of national guard health affairs saudi arabia,1,Ministry of National Guard Health Affairs - Saudi Arabia
ministry of national planning and economic development,1,Ministry of National Planning and Economic Development
ministry of oil and mineral resources,1,Ministry of Oil and Mineral Resources
ministry of physical infrastructure and transport,1,Ministry of Physical Infrastructure and Transport
ministry of planning and finance,1,Ministry of Planning and Finance
ministry of planning and international cooperation,1,Ministry of Planning and International Cooperation
ministry of planning economic development and international cooperation puntland,1,"Ministry of Planning, Economic Development and International Cooperation - Puntland"
ministry of planning investment and economic development,1,"Ministry of Planning, Investment and Economic Development"
ministry of planning niger,1,Ministry of Planning - Niger
ministry of public health,1,Ministry of Public Health
ministry of public health and population,1,Ministry of Public Health and Population
ministry of public health drc,1,Ministry of Public Health - DRC
ministry of public health qatar,1,Ministry of Public Health - Qatar
ministry of public works cameroon,1,Ministry of Public Works - Cameroon
ministry of public works kuwait,1,Ministry of Public Works - Kuwait
ministry of public works transport,1,Ministry of Public Works & Transport
ministry of public works transport and communications portugal,1,"Ministry of Public Works, Transport and Communications - Portugal"
ministry of rail transportation,1,Ministry of Rail Transportation
ministry of roads and bridges,1,Ministry of Roads and Bridges
ministry of rural development and food greece,1,Ministry of Rural Development and Food - Greece
ministry of science and higher education,1,Ministry of Science and Higher Education
ministry of science and higher education poland,1,Ministry of Science and Higher Education - Poland
ministry of science and technology,1,Ministry of Science and Technology
ministry of science education and youth croatia,1,"Ministry of Science, Education and Youth - Croatia"
ministry of science technology and higher education portugal,1,"Ministry of Science, Technology and Higher Education - Portugal"
ministry of social affairs,1,Ministry of Social Affairs
ministry of social affairs and labor,1,Ministry of Social Affairs and Labor
ministry of social welfare,1,Ministry of Social Welfare
ministry of social welfare relief and resettlement,1,"Ministry of Social Welfare, Relief and Resettlement"
ministry of state reform france,1,Ministry of State Reform - France
ministry of technical and higher education,1,Ministry of Technical and Higher Education
ministry of technical and vocational education,1,Ministry of Technical and Vocational Education
ministry of technical education and vocational training,1,Ministry of Technical Education and Vocational Training
ministry of technical education and vocational training yemen,1,Ministry of Technical Education and Vocational Training - Yemen
ministry of telecommunications and information technology,1,Ministry of Telecommunications and Information Technology
ministry of the displaced,1,Ministry of the Displaced
ministry of the economy and development planning,1,Ministry of the Economy and Development Planning
ministry of the environment and energy greece,1,Ministry of the Environment and Energy - Greece
ministry of the environment and food denmark,1,Ministry of the Environment and Food - Denmark
ministry of the environment and rural and marine environments spain,1,Ministry of the Environment and Rural and Marine Environments - Spain
ministry of the environment italy,1,Ministry of the Environment - Italy
ministry of trade and industry,1,Ministry of Trade and Industry
ministry of transport and communications,1,Ministry of Transport and Communications
ministry of transport and public works,1,Ministry of Transport and Public Works
ministry of transport and roads,1,Ministry of Transport and Roads
ministry of transport and sustainable mobility spain,1,Ministry of Transport and Sustainable Mobility - Spain
ministry of transportation,1,Ministry of Transportation
ministry of water and environment,1,Ministry of Water and Environment
ministry of water resources and irrigation,1,Ministry of Water Resources and Irrigation
ministry of wildlife conservation and tourism,1,Ministry of Wildlife Conservation and Tourism
ministry of women development and family affairs,1,Ministry of Women Development and Family Affairs
minka dev,1,Minka-Dev
minority rights group international,1,Minority Rights Group International
mipros,1,MIPROS
mir partenariats et developpement international,1,MIR partenariats et développement international
miral welfare foundation,1,MIRAL Welfare Foundation
misean cara,1,Misean Cara
miseli,1,Miseli
mision de observacion electoral,1,Misión de Observación Electoral
mision humanitaria,1,Misión Humanitaria
mission afrika,1,Mission Afrika
mission am nil international,1,Mission Am Nil International
mission east,1,Mission East
mission inclusion,1,Mission Inclusion
mission to support the peace process in colombia mapp oas,1,Mission to Support the Peace Process in Colombia (MAPP/OAS)
mitchell group,1,"The Mitchell Group, Inc."
miyamoto relief,1,Miyamoto Relief
moffatt nichol,1,Moffatt & Nichol
mohamed bin zayed species conservation fund united arab emirates,1,Mohamed bin Zayed Species Conservation Fund - United Arab Emirates
mohammed bin rashid al maktoum humanitarian and charity establishment united arab emirates,1,Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment - United Arab Emirates
moi africa institute,1,MOI AFRICA INSTITUTE
mon 3,1,Món-3
mondo,1,Mondo
monitoring mission to mideast canada,1,Monitoring Mission to Mideast - Canada
moomken organization for awareness and media,1,Moomken Organization for Awareness and Media
moore global,1,Moore Global
morpho,1,Morpho
mosaic,1,MOSAIC
moso rice cultivators collective,1,Moso Rice Cultivators Collective
moulders,1,Moulders Ltd
moulin moderne du mali sa,1,Moulin Moderne Du Mali SA
mouvement ivoirien des droits humains,1,Mouvement Ivoirien des Droits Humains
mouvement paysan de l acul du nord,1,Mouvement Paysan de l'Acul du Nord
movement for international solidarity,1,Movement for International Solidarity
movement for peace disarmament and freedom,1,"Movement for Peace, Disarmament and Freedom"
moviired,1,Moviired
movilidad futura s a s,1,Movilidad Futura S.A.S.
movimento africa 70,1,Movimento Africa '70
movimento sviluppo e pace,1,Movimento Sviluppo e Pace
movimiento cimarron,1,Movimiento Cimarron
movimiento extrameno por la paz,1,Movimiento Extrameño por La Paz
movimiento por la paz el desarme y la libertad,1,"Movimiento por la Paz, el Desarme y la Libertad"
ms,1,MS
msi australia,1,MSI Australia
msi reproductive choices,1,MSI Reproductive Choices
msi reproductive choices south sudan,1,MSI Reproductive Choices South Sudan
mubadarat,1,Mubadarat
mudug peace and human development organization,1,Mudug Peace and Human Development Organization
mugarik gabe,1,Mugarik Gabe
mugarik gabe nafarroa,1,Mugarik Gabe Nafarroa
mujeres en zona de conflicto,1,Mujeres en Zona de Conflicto
muloma women s development association,1,Muloma Women's Development Association
multi aid programs,1,Multi-Aid Programs
multi donor trust fund,1,Multi Donor Trust Fund
multilateral debt relief initiative,1,Multilateral Debt Relief Initiative
multilateral investment fund,1,Multilateral Investment Fund
multilateral investment fund small enterprise development facility,1,Multilateral Investment Fund - Small Enterprise Development Facility
multilateral investment guarantee agency,1,Multilateral Investment Guarantee Agency
multinational civil military cooperation group italy,1,Multinational Civil-Military Cooperation Group - Italy
mundri east peacemaker agribusiness enterprise,1,Mundri East Peacemaker Agribusiness Enterprise Ltd
mundri relief development association,1,Mundri Relief & Development Association
mundukide fundazioa,1,Mundukide Fundazioa
municipal development partnership,1,Municipal Development Partnership
municipality of fruili venezia guila italy,1,Municipality of Fruili-Venezia Guila - Italy
municipality of milan italy,1,Municipality of Milan - Italy
municipality of perguia italy,1,Municipality of Perguia - Italy
municipality of tripoli,1,Municipality of Tripoli
municipality of tyre,1,Municipality of Tyre
municipio de bogota,1,Municipio de Bogotá
musee national des costumes,1,Musée National des Costumes
museum volkenkunde,1,Museum Volkenkunde
muslim free hospital,1,Muslim Free Hospital
muslim world league,1,Muslim World League
mwatana for human rights,1,Mwatana for Human Rights
mwh global,1,MWH Global
myanmar agricultural produce trading,1,Myanmar Agricultural Produce Trading
myanmar institute for integrated development,1,Myanmar Institute for Integrated Development
myanmar institute for peace and security,1,Myanmar Institute for Peace and Security
myanmar institute of gender studies,1,Myanmar Institute of Gender Studies
myright,1,MyRight
n a,3,N.A.|N/A|n.a.
n zi river basin irrigation,1,The N'Zi River Basin Irrigation
naba a developmental action without borders,1,Naba'a Developmental Action without Borders
nahd developmental foundation,1,Nahd Developmental Foundation
nahnoo,1,NAHNOO
nahrain international company,1,Nahrain International Company
nahwa al muwatiniya,1,Nahwa al-Muwatiniya
nairobi kenya,1,Nairobi - Kenya
najda now,1,Najda Now
namati,1,Namati
nansen fredssenter,1,Nansen Fredssenter
naqabah nisab road,1,Naqabah-Nisab Road
narayan manader,1,Narayan Manader
naringslivets internationella rad,1,Näringslivets Internationella Råd
nassaim water project,1,Nassaim Water Project
nathan associates,1,Nathan Associates
national academy of sciences,1,National Academy of Sciences
national agency for academic exchange poland,1,National Agency for Academic Exchange - Poland
national agency for state reserves and special problems romania,1,National Agency for State Reserves and Special Problems - Romania
national agricultural research and innovation center hungary,1,National Agricultural Research and Innovation Center - Hungary
national aids commission,1,National AIDS Commission
national aids program,1,National AIDS Program
national alliance of christian mutualities,1,National Alliance of Christian Mutualities
national association for vocational training and social services,1,National Association For Vocational Training And Social Services
national audit chamber,1,National Audit Chamber
national audit office norway,1,National Audit Office - Norway
national audubon society,1,National Audubon Society
national authority for the litani river,1,National Authority for the Litani River
national authority to combat drought and food security,1,National Authority to Combat Drought and Food Security
national bank of belgium,1,National Bank of Belgium
national bureau of statistics,1,National Bureau of Statistics
national cancer control foundation,1,National Cancer Control Foundation
national caucus of fezzan,1,National Caucus of Fezzan
national center for culture and arts jordan,1,The National Center for Culture and Arts - Jordan
national center for state courts,1,National Center for State Courts
national centre of scientific research demokritos greece,1,National Centre of Scientific Research Demokritos - Greece
national commission for lebanese women,1,National Commission for Lebanese Women
national commission for social action,1,National Commission for Social Action
national commission to investigate alleged violations to human rights,1,National Commission to Investigate Alleged Violations to Human Rights
national council for scientific research,1,National Council for Scientific Research
national council for the fight against hiv aids tuberculosis malaria hepatitis sexually transmitted infections and epidemics benin,1,"National Council for the Fight against HIV/AIDS, Tuberculosis, Malaria, Hepatitis, Sexually Transmitted Infections and Epidemics - Benin"
national council for the struggle against hiv aids and sti burkina faso,1,National Council for the Struggle against HIV/AIDS and STI - Burkina Faso
national council of churches in australia,1,National Council of Churches in Australia
national council of ymcas of ireland,1,National Council of YMCAs of Ireland
national defense general staff greece,1,National Defense General Staff - Greece
national democratic institute,1,National Democratic Institute
national democratic institute for international affairs,1,National Democratic Institute for International Affairs
national emergency management agency denmark,1,National Emergency Management Agency - Denmark
national endowment for democracy,1,National Endowment for Democracy
national evangelical synod of syria and lebanon,1,National Evangelical Synod of Syria and Lebanon
national fire brigade corps italy,1,National Fire Brigade Corps - Italy
national forestry authority uganda,1,National Forestry Authority - Uganda
national forum for human rights,1,National Forum for Human Rights
national foundation for democracy and human rights in uganda,1,National Foundation for Democracy and Human Rights in Uganda
national higher school of statistics and applied economics,1,National Higher School of Statistics and Applied Economics
national highway authority of sudan,1,National Highway Authority of Sudan
national hiv aids secretariat,1,National HIV/AIDS Secretariat
national institute for international education south korea,1,National Institute for International Education - South Korea
national institute of public health of quebec canada,1,National Institute of Public Health of Quebec - Canada
national institute of statistics italy,1,National Institute of Statistics - Italy
national institution for social care and vocational training,1,National Institution for Social Care and Vocational Training
national integrity agency romania,1,National Integrity Agency - Romania
national it industry promotion agency south korea,1,National IT Industry Promotion Agency - South Korea
national malaria control program,1,National Malaria Control Program
national museum in warsaw,1,National Museum in Warsaw
national museum of damascus,1,National Museum of Damascus
national network of indigenous women,1,National Network of Indigenous Women
national office of protection of refugees and stateless persons burundi,1,National Office of Protection of Refugees and Stateless Persons - Burundi
national organization for community development,1,National Organization for Community Development
national organization for defending rights and freedoms,1,National Organization for Defending Rights and Freedoms
national organization for organ and tissue donation and transplantation,1,The National Organization for Organ and Tissue Donation and Transplantation
national planning commission,1,National Planning Commission
national police directorate norway,1,National Police Directorate - Norway
national population council,1,National Population Council
national radiotherapy oncology and nuclear medicine centre,1,National Radiotherapy Oncology and Nuclear Medicine Centre
national range agency,1,National Range Agency
national rural electric cooperative association,1,National Rural Electric Cooperative Association
