cleaned_name,n_raw_variants,raw_variants
american austrian foundation,1,The American Austrian Foundation
american bar association,1,American Bar Association
american bar association fund for justice and education,1,American Bar Association Fund for Justice and Education
american bird conservancy,1,American Bird Conservancy
american community school beirut,1,"American Community School, Beirut"
american council on education,1,American Council on Education
american hotel register,1,American Hotel Register
american institutes for research,1,American Institutes for Research
american near east refugee aid,1,American Near East Refugee Aid
american president lines,1,American President Lines Ltd.
american red cross,1,American Red Cross
american society for clinical pathology,1,American Society for Clinical Pathology
american university,1,American University
american university in cairo,1,The American University in Cairo
american university of beirut,1,American University of Beirut
american university of sharjah,1,American University of Sharjah
amerigo colombia ventures,1,Amerigo Colombia Ventures
amici della sierra leone onlus,1,Amici della Sierra Leone onlus
amici nel mondo,1,Amici nel Mondo
amideast,1,AmidEast
amimbaru paste processing cooperative society,1,Amimbaru Paste Processing Cooperative Society
amis de l’afrique francophone – benin,1,Amis de l’Afrique Francophone – Benin
amref health africa,1,Amref Health Africa
amref health africa canada,1,Amref Health Africa - Canada
amref health africa italy,1,Amref Health Africa - Italy
amref health africa spain,1,AMREF Health Africa - Spain
amsterdam institute for global health and development,1,Amsterdam Institute for Global Health and Development
andalusian supportive association of development,1,Andalusian Supportive association of Development
andy benfield consulting,1,Andy Benfield Consulting
anergi international,1,Anergi International
anne frank house,1,Anne Frank House
antares azv,1,Antares-AZV
antelias naccache municipality,1,Antelias Naccache Municipality
antenna foundation nepal,1,Antenna Foundation Nepal
antwerp and flanders port training center,1,Antwerp and Flanders Port Training Center
aoife long,1,Aoife Long
apotecaris solidaris,1,Apotecaris Solidaris
apple,1,Apple Inc.
apprio,1,Apprio
appui au developpement integral et a la solidarite sur les collines,1,Appui au Développement Intégral et à la Solidarité sur les Collines
aqsa hospital,1,Aqsa Hospital
ara pacis initiatives for peace,1,Ara Pacis Initiatives for Peace
arab bank for economic development in africa,1,Arab Bank for Economic Development in Africa
arab center for the development of the rule of law and integrity,1,Arab Center for the Development of the Rule of Law and Integrity
arab forum for alternatives,1,Arab Forum for Alternatives
arab foundation for freedoms and equality,1,Arab Foundation for Freedoms and Equality
arab fund for economic and social development,1,The Arab Fund for Economic and Social Development
arab group for muslim christian dialogue,1,Arab Group for Muslim-Christian Dialogue
arab house for adult education and development,1,The Arab House for Adult Education and Development
arab human rights fund,1,Arab Human Rights Fund
arab image foundation,1,Arab Image Foundation
arab medical union,1,Arab Medical Union
arab network for tolerance,1,Arab Network for Tolerance
arab puppet theatre foundation,1,Arab Puppet Theatre Foundation
arab reading challenge,1,Arab Reading Challenge
arab reform initiative,1,Arab Reform Initiative
arab resource center for popular arts,1,Arab Resource Center for Popular Arts
arab women media center,1,Arab Women Media Center
arabikansojen ystavyysseura,1,Arabikansojen Ystävyysseura
arapaz,1,Arapaz
arava international center for agriculture training,1,Arava International Center for Agriculture Training
arbeidernes ungdomsfylking,1,Arbeidernes Ungdomsfylking
arbeiderpartiet,1,Arbeiderpartiet
arbeitsgemeinschaft turk winter mali austria,1,Arbeitsgemeinschaft - Turk Winter Mali - Austria
archinos architecture,1,ARCHiNOS Architecture
architecture sans frontieres international,1,Architecture Sans Frontières International
arcidiecezni charita praha,1,Arcidiecezni charita Praha
arcs culture solidali,1,ARCS Culture Solidali
argekultur salzburg,1,ARGEkultur Salzburg
aristotle university of thessaloniki,1,Aristotle University of Thessaloniki
ark international,1,ARK International
armenian apostolic church,1,Armenian Apostolic Church
armenian foundation,1,Armenian Foundation
arntzen de besche,1,Arntzen de Besche
arquitectura sin fronteras spain,1,Arquitectura Sin Fronteras - Spain
art factory 961,1,Art Factory 961
artcultcomposition,1,ArtCultComposition
article 19,1,Article 19
artigiancassa,1,Artigiancassa
artistic service in myanmar,1,Artistic Service in Myanmar
arts for peace foundation,1,Arts for Peace Foundation
asamblea de cooperacion por la paz,1,Asamblea de Cooperación por la Paz
asia foundation,1,Asia Foundation
asia house,1,Asia House
asia indigenous peoples pact,1,Asia Indigenous Peoples Pact
asian development bank,1,Asian Development Bank
asian disaster preparedness center,1,Asian Disaster Preparedness Center
asian forum for human rights and development,1,Asian Forum for Human Rights and Development
asian institute for human rights,1,Asian Institute for Human Rights
asian institute of technology,1,Asian Institute of Technology
asian justice and rights,1,Asian Justice and Rights
asian network for free election,1,Asian Network for Free Election
asian ngo coalition for agrarian reform and rural development,1,Asian NGO Coalition for Agrarian Reform and Rural Development
asociace malych a strednich podniku a zivnostniku ceske republiky,1,Asociace malých a středních podniků a živnostníků České republiky
asociacion ambiente y sociedad,1,Asociación Ambiente y Sociedad
asociacion amigos de mali danaya,1,Asociacion Amigos De Mali Danaya
asociacion bancaria y de entidades financieras de colombia,1,Asociación Bancaria y de Entidades Financieras de Colombia
asociacion col lectiu d educacio en drets humans i de prevencio activa de conflictes,1,Asociación Col.lectiu d'Educació en Drets Humans i de Prevenció Activa de Conflictes
asociacion comision catolica espanola de migraciones,1,Asociación Comisión Católica Española de Migraciones
asociacion comision espanola de ayuda al refugiado cear euskadi,1,Asociación Comisión Española de Ayuda al Refugiado (CEAR) Euskadi
asociacion de autoridades indigenas,1,Asociación de Autoridades Indígenas
asociacion de autoridades tradicionales indigenas shipia wayuu,1,Asociación de Autoridades Tradicionales Indígenas Shipia Wayuu
asociacion de campesinos de la vereda palmas,1,Asociación de Campesinos de la Vereda Palmas
asociacion de consejos comunitarios del norte del cauca,1,Asociación de Consejos Comunitarios del Norte del Cauca
asociacion de mujeres indigenas chagra de la vida,1,Asociación de Mujeres Indígenas Chagra de la Vida
asociacion de productores del corregimiento de puerto frazadas vereda las vegas,1,Asociación de Productores del Corregimiento de Puerto Frazadas Vereda las Vegas
asociacion de productores del medio atrato,1,Asociación De Productores Del Medio Atrato
asociacion de productores indigenas y campesinos,1,Asociación de Productores Indígenas y Campesinos
asociacion de regiones fronterizas de europa,1,Asociación de Regiones Fronterizas de Europa
