name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
service de cooperation au developpement,service laique de cooperation au developpement,91.8,91.7,no,service laique de cooperation au developpement,coder_rejected,Service de Coopération au Développement,Service laïque de coopération au développement
care danmark,care denmark,91.7,91.7,no,care denmark,country_name_swap,CARE Danmark,CARE Denmark
plan international italia,plan international mali,91.7,93.0,no,plan international mali,country_name_swap,Plan International Italia,Plan International Mali
population services international,population services international sudan,91.7,100.0,no,population services international sudan,coder_rejected,Population Services International,Population Services International Sudan
young men s christian association,young men s christian association spain,91.7,100.0,no,young men s christian association,differentiating_word,Young Men's Christian Association,Young Men's Christian Association - Spain
export import bank of korea,export import bank south korea,91.2,85.2,no,export import bank south korea,differentiating_word,Export-Import Bank of Korea,Export-Import Bank - South Korea
international hiv aids alliance,international hiv alliance,91.2,87.0,no,international hiv aids alliance,coder_rejected,International HIV/AIDS Alliance,International HIV Alliance
ministry of rail transportation,ministry of transportation,91.2,80.8,no,ministry of rail transportation,coder_rejected,Ministry of Rail Transportation,Ministry of Transportation
italian agency for development cooperation la paz office,italian agency for development cooperation yangon office,91.1,91.1,no,italian agency for development cooperation yangon office,coder_rejected,Italian Agency for Development Cooperation - La Paz Office,Italian Agency for Development Cooperation - Yangon Office
ministry of technical and vocational education,ministry of technical education and vocational training,91.1,82.2,no,ministry of technical education and vocational training,coder_rejected,Ministry of Technical and Vocational Education,Ministry of Technical Education and Vocational Training
energie du mali,energie du mali sa,90.9,100.0,no,energie du mali sa,coder_rejected,Energie du Mali,Energie du Mali SA
fundacion acodea,fundacion codespa,90.9,93.3,no,fundacion codespa,country_name_swap,Fundación Acodea,Fundación CODESPA
international organization for migration,international organization for migration ireland,90.9,100.0,no,international organization for migration,differentiating_word,International Organization for Migration,International Organization for Migration Ireland
life and peace institute,life peace institute,90.9,88.9,no,life and peace institute,coder_rejected,The Life and Peace Institute,Life & Peace Institute
united nations children s fund,united nations children s fund sudan,90.9,100.0,no,united nations children s fund sudan,coder_rejected,United Nations Children's Fund,United Nations Children's Fund Sudan
embassy of the republic of poland in beirut,embassy of the republic of poland in bogota,90.7,93.8,no,embassy of the republic of poland in beirut,country_name_swap,Embassy of the Republic of Poland in Beirut,Embassy of the Republic of Poland in Bogota
institute for human rights and business,institute for human rights and business vietnam,90.7,100.0,no,institute for human rights and business vietnam,coder_rejected,Institute for Human Rights and Business,Institute for Human Rights and Business Vietnam
united nations children s fund australia committee,united nations children s fund canada committee,90.7,87.2,no,united nations children s fund canada committee,differentiating_word,United Nations Children's Fund - Australia Committee,United Nations Children's Fund - Canada Committee
embassy of the republic of poland in amman,embassy of the republic of poland in cairo,90.5,95.0,no,embassy of the republic of poland in amman,country_name_swap,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Cairo
