name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
ministry of health angola,ministry of health spain,73.5,93.3,no,ministry of health spain,country_name_swap,Ministry of Health - Angola,Ministry of Health - Spain
plan international belgium,plan international mali,73.5,90.5,no,plan international mali,country_name_swap,PLAN International Belgium,Plan International Mali
plan international denmark,plan international mali,73.5,90.5,no,plan international mali,country_name_swap,Plan International Denmark,Plan International Mali
plan international finland,plan international mali,73.5,90.9,no,plan international finland,country_name_swap,Plan International Finland,Plan International Mali
plan international mali,plan international sverige,73.5,90.5,no,plan international sverige,country_name_swap,Plan International Mali,Plan International Sverige
ministry of foreign affairs and trade hungary,ministry of foreign affairs latvia,73.4,92.1,no,ministry of foreign affairs and trade hungary,differentiating_word,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Latvia
royal norwegian emabssy nairobi,royal norwegian embassy cairo,73.3,93.1,no,royal norwegian embassy cairo,coder_rejected,"Royal Norwegian Emabssy, Nairobi","Royal Norwegian Embassy, Cairo"
government of australia,government of chad,73.2,90.9,no,government of australia,country_name_swap,Government of Australia,Government of Chad
ministry of agriculture and food security,ministry of agriculture france,73.2,92.9,no,ministry of agriculture france,differentiating_word,Ministry of Agriculture and Food Security,Ministry of Agriculture - France
universitat politecnica de catalunya,universitat politecnica de valencia,73.2,90.6,no,universitat politecnica de catalunya,country_name_swap,Universitat Politècnica de Catalunya,Universitat Politècnica de València
center for international policy,center for international private enterprise,73.0,91.5,no,center for international private enterprise,coder_rejected,Center for International Policy,Center for International Private Enterprise
christian blind mission australia,christian blind mission italia,73.0,90.9,no,christian blind mission italia,country_name_swap,Christian Blind Mission Australia,Christian Blind Mission Italia
ministry of foreign affairs and emigrants,ministry of foreign affairs japan,73.0,95.2,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Japan
ministry of foreign affairs denmark,ministry of foreign affairs netherlands,73.0,90.6,no,ministry of foreign affairs netherlands,country_name_swap,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs estonia,ministry of foreign affairs netherlands,73.0,90.9,no,ministry of foreign affairs netherlands,country_name_swap,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Netherlands
ministry of foreign affairs estonia,ministry of foreign affairs south korea,73.0,92.3,no,ministry of foreign affairs south korea,differentiating_word,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - South Korea
royal norwegian embassy cairo,royal norwegian embassy in jakarta,73.0,92.6,no,royal norwegian embassy cairo,coder_rejected,"Royal Norwegian Embassy, Cairo",Royal Norwegian Embassy in Jakarta
united nations development programme south sudan common humanitarian fund,united nations development programme sudan,73.0,95.1,no,united nations development programme sudan,differentiating_word,United Nations Development Programme South Sudan Common Humanitarian Fund,United Nations Development Programme Sudan
agency for technical cooperation and development,agency for technical cooperation tunisia,72.7,91.9,no,agency for technical cooperation and development,coder_rejected,Agency for Technical Cooperation and Development,Agency for Technical Cooperation - Tunisia
federal ministry of agriculture and forestry,federal ministry of agriculture forestry regions and water management austria,72.7,95.2,no,federal ministry of agriculture forestry regions and water management austria,differentiating_word,Federal Ministry of Agriculture and Forestry,"Federal Ministry of Agriculture, Forestry, Regions and Water Management - Austria"
international aid services,international services development group,72.7,91.7,no,international services development group,coder_rejected,International Aid Services,International Services Development Group
ministerio de educacion nacional,ministerio de educacion nacional y formacion profesional,72.7,100.0,no,ministerio de educacion nacional y formacion profesional,word_count_mismatch,Ministerio de Educación Nacional,Ministerio de Educación Nacional y Formación Profesional
ministry of energy and water,ministry of energy water resources and irrigation,72.7,92.3,no,ministry of energy and water,coder_rejected,Ministry of Energy and Water,"Ministry of Energy, Water Resources and Irrigation"
ministry of interior,ministry of interior czech republic,72.7,100.0,no,ministry of interior czech republic,differentiating_word,Ministry of Interior,Ministry of Interior - Czech Republic
ministry of the environment and food denmark,ministry of the environment italy,72.7,93.5,no,ministry of the environment italy,differentiating_word,Ministry of the Environment and Food - Denmark,Ministry of the Environment - Italy
mugarik gabe,mugarik gabe nafarroa,72.7,100.0,no,mugarik gabe,coder_rejected,Mugarik Gabe,Mugarik Gabe Nafarroa
veterinaires sans frontieres europa,veterinaires sans frontieres international,72.7,90.6,no,veterinaires sans frontieres international,country_name_swap,Veterinaires Sans Frontieres Europa,Vétérinaires Sans Frontières International
world vision,world vision colombia,72.7,100.0,no,world vision,coder_rejected,World Vision International,World Vision Colombia
ministerio das obras publicas,ministerio das obras publicas habitacao e urbanismo,72.5,100.0,no,ministerio das obras publicas,word_count_mismatch,Ministério das Obras Públicas,Ministério Das Obras Publicas Habitacão e Urbanismo
ministry of foreign affairs and trade hungary,ministry of foreign affairs denmark,72.5,90.6,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs and trade hungary,ministry of foreign affairs estonia,72.5,90.6,no,ministry of foreign affairs estonia,differentiating_word,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Estonia
federal ministry of health,federal ministry of the interior,72.4,91.7,no,federal ministry of health,coder_rejected,Federal Ministry of Health,Federal Ministry of the Interior
ministry of health and population,ministry of health angola,72.4,91.3,no,ministry of health and population,coder_rejected,Ministry of Health and Population,Ministry of Health - Angola
ministry of health and sanitation,ministry of health angola,72.4,91.3,no,ministry of health and sanitation,coder_rejected,Ministry of Health and Sanitation,Ministry of Health - Angola
union des societes cooperatives des producteur,union des societes cooperatives des producteurs cerealiers du cercle de baraoueli,72.4,100.0,no,union des societes cooperatives des producteur,word_count_mismatch,Union des sociétés coopératives des producteur,Union des Sociétés Coopératives des Producteurs Céréaliers du Cercle de Baraouéli
united nations development programme emergency response division,united nations development programme mali,72.4,95.0,no,united nations development programme mali,coder_rejected,United Nations Development Programme Emergency Response Division,United Nations Development Programme Mali
embassy of canada,embassy of canada to indonesia,72.3,100.0,no,embassy of canada,coder_rejected,Embassy of Canada,Embassy of Canada to Indonesia
ministry of science and technology,ministry of science technology and higher education portugal,72.3,93.8,no,ministry of science and technology,differentiating_word,Ministry of Science and Technology,"Ministry of Science, Technology and Higher Education - Portugal"
united nations children s fund canada committee,united nations children s fund sudan,72.3,94.3,no,united nations children s fund canada committee,differentiating_word,United Nations Children's Fund - Canada Committee,United Nations Children's Fund Sudan
ministere de l enseignement superieur et de la recherche,ministere de l’enseignement superieur et de la recherche scientifique burundi,72.2,98.2,no,ministere de l’enseignement superieur et de la recherche scientifique burundi,coder_rejected,Ministère de l'Enseignement supérieur et de la Recherche,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
government of flanders belgium,government of france,72.0,90.0,no,government of flanders belgium,differentiating_word,Government of Flanders - Belgium,Government of France
ministry of foreign affairs and emigrants,ministry of foreign affairs greece,72.0,90.3,no,ministry of foreign affairs greece,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Greece
ministry of foreign affairs and emigrants,ministry of foreign affairs latvia,72.0,92.1,no,ministry of foreign affairs and emigrants,coder_rejected,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs and emigrants,ministry of foreign affairs norway,72.0,92.1,no,ministry of foreign affairs norway,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Norway
ministry of foreign affairs and emigrants,ministry of foreign affairs poland,72.0,95.4,no,ministry of foreign affairs poland,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Poland
ministry of foreign affairs czech republic,ministry of foreign affairs japan,72.0,91.8,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Japan
ministry of health angola,ministry of health jordan,72.0,91.3,no,ministry of health angola,country_name_swap,Ministry of Health - Angola,Ministry of Health - Jordan
ministry of health angola,ministry of health uganda,72.0,91.3,no,ministry of health uganda,country_name_swap,Ministry of Health - Angola,Ministry of Health - Uganda
united nations development programme,united nations development programme emergency response division,72.0,100.0,no,united nations development programme,word_count_mismatch,United Nations Development Programme,United Nations Development Programme Emergency Response Division
ministry of agriculture,ministry of agriculture and food security,71.9,100.0,no,ministry of agriculture and food security,word_count_mismatch,Ministry of Agriculture,Ministry of Agriculture and Food Security
royal norwegian embassy beirut,royal norwegian embassy in jakarta,71.9,90.9,no,royal norwegian embassy beirut,coder_rejected,"Royal Norwegian Embassy, Beirut",Royal Norwegian Embassy in Jakarta
government of israel,government of syria,71.8,91.9,no,government of syria,country_name_swap,Government of Israel,Government of Syria
ministry of the environment and energy greece,ministry of the environment italy,71.8,93.5,no,ministry of the environment italy,differentiating_word,Ministry of the Environment and Energy - Greece,Ministry of the Environment - Italy
united nations,united nations foundation,71.8,100.0,no,united nations,coder_rejected,United Nations,United Nations Foundation
united nations,united nations university,71.8,100.0,no,united nations,coder_rejected,United Nations,United Nations University
united nations,united nations volunteers,71.8,100.0,no,united nations,coder_rejected,United Nations,United Nations Volunteers
university of florida,university of oslo,71.8,91.4,no,university of oslo,country_name_swap,University of Florida,University of Oslo
african development bank,african development solutions,71.7,90.9,no,african development bank,country_name_swap,African Development Bank,African Development Solutions
embassy of qatar in china,embassy of qatar in khartoum,71.7,91.7,no,embassy of qatar in khartoum,country_name_swap,Embassy of Qatar in China,Embassy of Qatar in Khartoum
ministry of finance drc,ministry of finance of somalia,71.7,93.0,no,ministry of finance drc,country_name_swap,Ministry of Finance - DRC,Ministry of Finance of Somalia
united nations development programme emergency response division,united nations development programme syria,71.7,93.7,no,united nations development programme syria,coder_rejected,United Nations Development Programme Emergency Response Division,United Nations Development Programme Syria
unite de sante internationale,universite de montreal unite de sante internationale,71.6,100.0,no,unite de sante internationale,word_count_mismatch,Unité de santé internationale,Université de Montréal - Unité de santé internationale
embassy of canada to chile,embassy of canada to indonesia,71.4,91.7,no,embassy of canada to indonesia,country_name_swap,Embassy of Canada to Chile,Embassy of Canada to Indonesia
government of azerbaijan,government of chad,71.4,90.9,no,government of chad,country_name_swap,Government of Azerbaijan,Government of Chad
government of luxembourg,government of mali,71.4,90.9,no,government of mali,country_name_swap,Government of Luxembourg,Government of Mali
international medical cooperation committee,international medical corps,71.4,94.3,no,international medical corps,coder_rejected,International Medical Cooperation Committee,International Medical Corps
ministry of foreign affairs and international trade,ministry of foreign affairs japan,71.4,95.2,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Japan
united nations children s fund,united nations children s fund united states committee,71.4,100.0,no,united nations children s fund,word_count_mismatch,United Nations Children's Fund,United Nations Children's Fund - United States Committee
united nations children s fund belgium committee,united nations children s fund sudan,71.4,92.5,no,united nations children s fund sudan,differentiating_word,United Nations Children's Fund - Belgium Committee,United Nations Children's Fund Sudan
ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,ministere de l enseignement superieur et de la recherche,71.3,97.2,no,ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,word_count_mismatch,Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle,Ministère de l'Enseignement supérieur et de la Recherche
government of chad,government of cote d ivoire,71.1,90.9,no,government of chad,coder_rejected,Government of Chad,Government of Cote d'Ivoire
government of niger,government of sierra leone,71.1,91.9,no,government of sierra leone,coder_rejected,Government of Niger,Government of Sierra Leone
government of saudi arabia,government of syria,71.1,91.4,no,government of syria,coder_rejected,Government of Saudi Arabia,Government of Syria
ministry of foreign affairs and emigrants,ministry of foreign affairs romania,71.1,92.3,no,ministry of foreign affairs romania,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs - Romania
ministry of foreign affairs and expatriates,ministry of foreign affairs japan,71.1,95.2,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Japan
ministry of foreign affairs czech republic,ministry of foreign affairs greece,71.1,92.3,no,ministry of foreign affairs czech republic,differentiating_word,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Greece
ministry of foreign affairs czech republic,ministry of foreign affairs latvia,71.1,90.3,no,ministry of foreign affairs czech republic,differentiating_word,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs czech republic,ministry of foreign affairs norway,71.1,90.3,no,ministry of foreign affairs norway,differentiating_word,Ministry of Foreign Affairs - Czech Republic,Ministry of Foreign Affairs - Norway
ministry of health and social solidarity greece,ministry of health and sports,71.1,92.6,no,ministry of health and sports,differentiating_word,Ministry of Health and Social Solidarity - Greece,Ministry of Health and Sports
pan american health organization,pan american health organization world health organization,71.1,100.0,no,pan american health organization world health organization,word_count_mismatch,Pan American Health Organization,Pan-American Health Organization-World Health Organization
action contre la faim international,action contre la faim spain,71.0,94.1,no,action contre la faim international,country_name_swap,Action Contre la Faim International,Action Contre la Faim - Spain
ministry of foreign affairs and trade hungary,ministry of foreign affairs norway,70.9,92.1,no,ministry of foreign affairs norway,differentiating_word,Ministry of Foreign Affairs and Trade - Hungary,Ministry of Foreign Affairs - Norway
government of australia,government of australian capital territory,70.8,100.0,no,government of australia,differentiating_word,Government of Australia,Government of Australian Capital Territory
ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,ministere de l’enseignement superieur et de la recherche scientifique burundi,70.8,91.7,no,ministere de l enseignement superieur de la recherche scientifique et de la formation professionnelle,word_count_mismatch,Ministère de l'Enseignement Supérieur de la Recherche Scientifique et de la Formation Professionnelle,Ministère de l’Enseignement Supérieur et de la Recherche Scientifique - Burundi
ministry of public works transport,ministry of public works transport and communications portugal,70.8,100.0,no,ministry of public works transport,differentiating_word,Ministry of Public Works & Transport,"Ministry of Public Works, Transport and Communications - Portugal"
royal norwegian embassy,royal norwegian embassy in lisbon portugal,70.8,100.0,no,royal norwegian embassy,differentiating_word,Royal Norwegian Embassy,"Royal Norwegian Embassy in Lisbon, Portugal"
ministry of planning and finance,ministry of planning and international cooperation,70.7,91.8,no,ministry of planning and international cooperation,coder_rejected,Ministry of Planning and Finance,Ministry of Planning and International Cooperation
african development foundation united states,african development fund,70.6,95.8,no,african development fund,coder_rejected,African Development Foundation - United States,African Development Fund
fundacion arcangeles,fundacion esar,70.6,92.3,no,fundacion arcangeles,country_name_swap,Fundación Arcángeles,Fundación ESAR
ministry of foreign affairs and international trade,ministry of foreign affairs poland,70.6,95.4,no,ministry of foreign affairs poland,differentiating_word,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Poland
ministry of health,ministry of health and population,70.6,100.0,no,ministry of health and population,coder_rejected,Ministry of Health,Ministry of Health and Population
ministry of health,ministry of health and sanitation,70.6,100.0,no,ministry of health and sanitation,coder_rejected,Ministry of Health,Ministry of Health and Sanitation
ministry of health,ministry of health czech republic,70.6,100.0,no,ministry of health,differentiating_word,Ministry of Health,Ministry of Health - Czech Republic
plan international australia,plan international mali,70.6,93.0,no,plan international mali,country_name_swap,Plan International Australia,Plan International Mali
world vision,world vision australia,70.6,100.0,no,world vision,differentiating_word,World Vision International,World Vision Australia
ministry of foreign affairs and expatriates,ministry of foreign affairs and trade hungary,70.5,90.0,no,ministry of foreign affairs and expatriates,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs and Trade - Hungary
ministere de l environnement de l agriculture et de l elevage burundi,ministere de l environnment et de l eau,70.4,91.9,no,ministere de l environnement de l agriculture et de l elevage burundi,word_count_mismatch,"Ministère de l'environnement, de l'agriculture et de l'élevage - Burundi",Ministere de l'Environnment et de l'Eau
ministry of health and sports,ministry of health uganda,70.4,93.6,no,ministry of health uganda,coder_rejected,Ministry of Health and Sports,Ministry of Health - Uganda
ministry of public health and population,ministry of public health qatar,70.4,93.1,no,ministry of public health and population,coder_rejected,Ministry of Public Health and Population,Ministry of Public Health - Qatar
ministry of transport and communications,ministry of transport and roads,70.4,91.5,no,ministry of transport and communications,country_name_swap,Ministry of Transport and Communications,Ministry of Transport and Roads
government of chad,government of haiti,70.3,94.1,no,government of chad,country_name_swap,Government of Chad,Government of Haiti
ministry of foreign affairs and international cooperation,ministry of foreign affairs latvia,70.3,92.1,no,ministry of foreign affairs and international cooperation,coder_rejected,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Latvia
ministerio da justica,ministerio de justicia y del derecho,70.2,92.7,no,ministerio da justica,word_count_mismatch,Ministério da Justiça,Ministerio de Justicia y del Derecho
ministry of industry,ministry of industry and energy spain,70.2,100.0,no,ministry of industry and energy spain,differentiating_word,Ministry of Industry,Ministry of Industry and Energy - Spain
united nations development programme mali,united nations development programme south sudan common humanitarian fund,70.2,94.9,no,united nations development programme mali,differentiating_word,United Nations Development Programme Mali,United Nations Development Programme South Sudan Common Humanitarian Fund
ministry of foreign affairs and expatriates,ministry of foreign affairs greece,70.1,90.3,no,ministry of foreign affairs greece,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Greece
ministry of foreign affairs and expatriates,ministry of foreign affairs latvia,70.1,92.1,no,ministry of foreign affairs and expatriates,coder_rejected,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Latvia
ministry of foreign affairs and expatriates,ministry of foreign affairs norway,70.1,92.1,no,ministry of foreign affairs norway,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Norway
ministry of foreign affairs and expatriates,ministry of foreign affairs poland,70.1,95.4,no,ministry of foreign affairs poland,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Poland
fundacion desarrollo y paz,fundacion esar,70.0,92.9,no,fundacion desarrollo y paz,coder_rejected,Fundación Desarrollo y Paz,Fundación ESAR
united nations,united nations secretariat,70.0,100.0,no,united nations,coder_rejected,United Nations,United Nations Secretariat
university of toronto,university of toronto governing council,70.0,100.0,no,university of toronto,coder_rejected,University of Toronto,University of Toronto Governing Council
federal ministry of the interior austria,federal ministry of the interior building and community germany,69.9,92.1,no,federal ministry of the interior building and community germany,differentiating_word,Federal Ministry of the Interior - Austria,Federal Ministry of the Interior Building and Community - Germany
department of foreign affairs and trade australia,department of foreign affairs ireland,69.8,94.3,no,department of foreign affairs ireland,differentiating_word,Department of Foreign Affairs and Trade - Australia,Department of Foreign Affairs - Ireland
handicap international belgium,handicap international luxembourg,69.8,90.9,no,handicap international belgium,country_name_swap,Handicap International Belgium,Handicap International Luxembourg
ministry of foreign affairs and international trade,ministry of foreign affairs romania,69.8,92.3,no,ministry of foreign affairs romania,differentiating_word,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Romania
united nations children s fund australia committee,united nations children s fund sudan,69.8,94.1,no,united nations children s fund australia committee,differentiating_word,United Nations Children's Fund - Australia Committee,United Nations Children's Fund Sudan
heavily indebted poor countries,heavily indebted poor countries debt initiative trust fund,69.7,100.0,no,heavily indebted poor countries debt initiative trust fund,word_count_mismatch,Heavily Indebted Poor Countries,Heavily Indebted Poor Countries Debt Initiative Trust Fund
ministry of communication and information technology,ministry of telecommunications and information technology,69.7,90.4,no,ministry of communication and information technology,coder_rejected,Ministry of Communication and Information Technology,Ministry of Telecommunications and Information Technology
ministry of interior and municipalities,ministry of interior france,69.7,92.0,no,ministry of interior france,differentiating_word,Ministry of Interior and Municipalities,Ministry of Interior - France
building markets,building markets international,69.6,100.0,no,building markets,coder_rejected,Building Markets,Building Markets International
ministry of foreign affairs and emigrants,ministry of foreign affairs and international trade,69.6,92.1,no,ministry of foreign affairs and emigrants,coder_rejected,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and International Trade
ministry of foreign affairs and international cooperation,ministry of foreign affairs estonia,69.6,90.6,no,ministry of foreign affairs estonia,coder_rejected,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Estonia
embassy of canada,embassy of canada to timor leste,69.4,100.0,no,embassy of canada,word_count_mismatch,Embassy of Canada,Embassy of Canada to Timor-Leste
salesian missions,salesian missions of timor leste,69.4,100.0,no,salesian missions,word_count_mismatch,Salesian Missions,Salesian Missions of Timor Leste
ministry of agriculture fisheries and food spain,ministry of agriculture france,69.2,90.9,no,ministry of agriculture france,differentiating_word,"Ministry of Agriculture, Fisheries, and Food - Spain",Ministry of Agriculture - France
ministry of foreign affairs,ministry of foreign affairs and international trade,69.2,100.0,no,ministry of foreign affairs and international trade,word_count_mismatch,Ministry of Foreign Affairs,Ministry of Foreign Affairs and International Trade
ministry of foreign affairs and emigrants,ministry of foreign affairs and international cooperation italy,69.2,92.1,no,ministry of foreign affairs and international cooperation italy,differentiating_word,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and International Cooperation - Italy
ministry of foreign affairs and expatriates,ministry of foreign affairs romania,69.2,92.3,no,ministry of foreign affairs romania,differentiating_word,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Romania
plan international denmark,plan international myanmar,69.2,90.2,no,plan international denmark,country_name_swap,Plan International Denmark,Plan International Myanmar
plan international finland,plan international ireland,69.2,92.3,no,plan international finland,country_name_swap,Plan International Finland,Plan International Ireland
ministry of finance drc,ministry of finance sierra leone,69.1,93.0,no,ministry of finance sierra leone,coder_rejected,Ministry of Finance - DRC,Ministry of Finance Sierra Leone
national democratic institute,national democratic institute for international affairs,69.0,100.0,no,national democratic institute,word_count_mismatch,National Democratic Institute,National Democratic Institute for International Affairs
war child holland,war child uk,69.0,90.9,no,war child uk,country_name_swap,War Child Holland,War Child UK
ministry of finance and economic planning,ministry of finance drc,68.8,93.0,no,ministry of finance and economic planning,coder_rejected,Ministry of Finance and Economic Planning,Ministry of Finance - DRC
ministry of irrigation,ministry of irrigation and water resources,68.8,100.0,no,ministry of irrigation and water resources,word_count_mismatch,Ministry of Irrigation,Ministry of Irrigation and Water Resources
ministry of transport and public works,ministry of transportation,68.8,92.0,no,ministry of transport and public works,word_count_mismatch,Ministry of Transport and Public Works,Ministry of Transportation
union communale des societes cooperatives des producteurs de cereales jamajigi de fatine,union des societes cooperatives des producteur,68.7,93.5,no,union des societes cooperatives des producteur,word_count_mismatch,"Union Communale des Societes Cooperatives des Producteurs de Cereales ""Jamajigi"" de Fatine",Union des sociétés coopératives des producteur
world vision,world vision osterreich,68.6,100.0,no,world vision,coder_rejected,World Vision International,World Vision Österreich
international development group,international development law organization,68.5,91.2,no,international development law organization,coder_rejected,International Development Group,International Development Law Organization
international development group,international development support services,68.5,93.3,no,international development group,coder_rejected,International Development Group,International Development Support Services Pty Ltd
universita degli studi di trento,universita degli studi di urbino carlo bo,68.5,90.6,no,universita degli studi di trento,coder_rejected,Università degli Studi di Trento,Università degli Studi di Urbino Carlo Bo
government of benin,government of niger,68.4,91.4,no,government of benin,country_name_swap,Government of Benin,Government of Niger
government of ghana,government of haiti,68.4,91.4,no,government of haiti,country_name_swap,Government of Ghana,Government of Haiti
ministry of social welfare,ministry of social welfare relief and resettlement,68.4,100.0,no,ministry of social welfare,word_count_mismatch,Ministry of Social Welfare,"Ministry of Social Welfare, Relief and Resettlement"
government of haiti,government of thailand,68.3,91.9,no,government of haiti,country_name_swap,Government of Haiti,Government of Thailand
ministry of agriculture forestry and fisheries japan,ministry of agriculture france,68.3,93.1,no,ministry of agriculture france,differentiating_word,"Ministry of Agriculture, Forestry and Fisheries - Japan",Ministry of Agriculture - France
ministry of education and religious affairs greece,ministry of education and sports,68.3,91.5,no,ministry of education and sports,differentiating_word,Ministry of Education and Religious Affairs - Greece,Ministry of Education and Sports
government of haiti,government of timor leste,68.2,91.4,no,government of haiti,coder_rejected,Government of Haiti,Government of Timor-Leste
international humanitarian city united arab emirates,international humanitarian relief,68.2,90.3,no,international humanitarian city united arab emirates,word_count_mismatch,International Humanitarian City - United Arab Emirates,International Humanitarian Relief
ministry of education and scientific research romania,ministry of education and sports,68.2,91.5,no,ministry of education and scientific research romania,differentiating_word,Ministry of Education and Scientific Research - Romania,Ministry of Education and Sports
ministry of foreign affairs and international trade,ministry of foreign affairs greece,68.2,90.3,no,ministry of foreign affairs greece,differentiating_word,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Greece
university of oslo,university of saskatchewan,68.2,90.9,no,university of oslo,country_name_swap,University of Oslo,University of Saskatchewan
university of oslo,university of sierra leone,68.2,90.9,no,university of oslo,coder_rejected,University of Oslo,University of Sierra Leone
university of pecs,university of saskatchewan,68.2,90.9,no,university of saskatchewan,country_name_swap,University of Pécs,University of Saskatchewan
university of pecs,university of sierra leone,68.2,90.9,no,university of sierra leone,coder_rejected,University of Pécs,University of Sierra Leone
embassy of canada,embassy of canada to saudi arabia,68.0,100.0,no,embassy of canada,word_count_mismatch,Embassy of Canada,Embassy of Canada to Saudi Arabia
universita degli studi di roma tre,universita degli studi di roma tre dipartimento di studi aziendali,68.0,100.0,no,universita degli studi di roma tre,word_count_mismatch,Università degli Studi di Roma Tre,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali
ministere des mines,ministere des mines et de la geologie,67.9,100.0,no,ministere des mines,word_count_mismatch,Ministère des Mines,Ministère des Mines et de la Géologie
ministry of health and sports,ministry of health italy,67.9,90.9,no,ministry of health and sports,differentiating_word,Ministry of Health and Sports,Ministry of Health - Italy
ministry of health and sports,ministry of health libya,67.9,90.9,no,ministry of health and sports,coder_rejected,Ministry of Health and Sports,Ministry of Health - Libya
ministry of interior,ministry of internal affairs liberia,67.9,91.9,no,ministry of interior,coder_rejected,Ministry of Interior,Ministry of Internal Affairs - Liberia
ministry of interior,ministry of interior and municipalities,67.8,100.0,no,ministry of interior,coder_rejected,Ministry of Interior,Ministry of Interior and Municipalities
united nations development programme south sudan common humanitarian fund,united nations development programme syria,67.8,95.0,no,united nations development programme syria,differentiating_word,United Nations Development Programme South Sudan Common Humanitarian Fund,United Nations Development Programme Syria
ministry of education,ministry of education and research norway,67.7,100.0,no,ministry of education and research norway,differentiating_word,Ministry of Education,Ministry of Education and Research - Norway
trade and development agency united states,trade and development bank,67.6,93.9,no,trade and development agency united states,coder_rejected,Trade and Development Agency - United States,Trade and Development Bank
ministry of agriculture forestry and food security,ministry of agriculture france,67.5,93.1,no,ministry of agriculture france,differentiating_word,"Ministry of Agriculture, Forestry and Food Security",Ministry of Agriculture - France
ministry of transport and roads,ministry of transport and sustainable mobility spain,67.5,93.1,no,ministry of transport and sustainable mobility spain,differentiating_word,Ministry of Transport and Roads,Ministry of Transport and Sustainable Mobility - Spain
federal ministry of the interior,federal ministry of the interior building and community germany,67.4,100.0,no,federal ministry of the interior building and community germany,differentiating_word,Federal Ministry of the Interior,Federal Ministry of the Interior Building and Community - Germany
ministere du developpement de l energie et des ressources,ministere du developpement rural,67.4,91.5,no,ministere du developpement rural,differentiating_word,Ministère du Développement de l'Énergie et des Ressources,Ministère du Développement Rural
ministry of foreign affairs and international cooperation,ministry of foreign affairs denmark,67.4,90.6,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs and international trade,ministry of foreign affairs denmark,67.4,90.6,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs and international trade,ministry of foreign affairs estonia,67.4,90.6,no,ministry of foreign affairs estonia,coder_rejected,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Estonia
canadian commercial,canadian commercial corporation canada,66.7,100.0,no,canadian commercial,differentiating_word,Canadian Commercial Corporation,Canadian Commercial Corporation - Canada
embassy of canada,embassy of canada to cote d ivoire,66.7,100.0,no,embassy of canada,word_count_mismatch,Embassy of Canada,Embassy of Canada to Cote d'Ivoire
