"raw_name","n_states","n_years","first_year","last_year","n_appearances"
"Médecins Du Monde",8,16,2005,2020,30
"Ministry of Foreign Affairs - Portugal",5,15,2005,2019,30
"Norfund - Norway",3,16,2005,2020,30
"Public Health Institute",5,11,2006,2020,30
"Université Laval",5,16,2005,2020,30
"Academy for Educational Development",6,11,2008,2019,29
"Alight",5,10,2011,2020,29
"EngenderHealth",4,13,2007,2019,29
"Federal Ministry of the Interior Building and Community - Germany",8,7,2014,2020,29
"General Directorate of Humanitarian Attention and Social Inclusion of Immigration - Spain",11,3,2018,2020,29
"Horizont 3000",5,16,2005,2020,29
"International Foundation for Electoral Systems",7,16,2005,2020,29
"Ministry of Education, Higher Education and Research - France",13,4,2010,2020,29
"Oxfam Belgium",8,10,2011,2020,29
"Saferworld",3,15,2006,2020,29
"Suomen Lähetysseura",3,16,2005,2020,29
"Swedish Rescue Services Agency",5,7,2006,2012,29
"World Trade Organization",8,12,2009,2020,29
"ZOA International",5,9,2012,2020,29
"Act Church of Sweden",4,7,2014,2020,28
"Carlson Wagonlit Italia",6,10,2011,2020,28
"Creative Associates International",7,15,2006,2020,28
"Jefferson Consulting Group, LLC",4,8,2013,2020,28
"Ministry of Foreign and European Affairs - Slovenia",10,11,2009,2020,28
"Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment - United Arab Emirates",8,11,2009,2020,28
"Österreichisches Rotes Kreuz",6,14,2007,2020,28
"Pathfinder International",4,11,2010,2020,28
"African Union",7,13,2005,2020,27
"Agency for Education and Internationalization - Austria",8,10,2006,2020,27
"Association for Cultural, Technical and Educational Cooperation",4,14,2005,2020,27
"Autorité du Bassin du Niger",3,9,2005,2013,27
"Centro Internacional de Agricultura Tropical",6,13,2005,2020,27
"Embassy of the United Arab Emirates",7,10,2009,2020,27
"Ministry of Defence - Italy",3,14,2007,2020,27
"Ministry of Defense - Spain",5,10,2011,2020,27
"Ministry of Education and Research - Norway",8,14,2005,2020,27
"United Nations Development Fund for Women",6,8,2005,2012,27
"UPA International Development",4,14,2005,2020,27
"Avocats Sans Frontières",5,12,2005,2020,26
"CARE Österreich",4,13,2005,2017,26
"Christian Aid Ireland",7,14,2007,2020,26
"Crisis Management Initiative",7,11,2010,2020,26
"Environmental Development Action in the Third World",5,13,2008,2020,26
"Equitas",4,8,2013,2020,26
"Finnish Refugee Council",2,16,2005,2020,26
"International Institute for Democracy and Electoral Assistance",5,16,2005,2020,26
"Plan International",7,13,2005,2020,26
"PMU InterLife",4,7,2005,2011,26
"Projektgroep voor Technische Ontwikkelingssamenwerking",3,16,2005,2020,26
"Société de coopération pour le développement international",3,14,2007,2020,26
"University Research Co.",4,9,2012,2020,26
"Caritas Internationalis",6,13,2005,2020,25
"Center for International Private Enterprise",9,9,2010,2019,25
"Community of Las Illes Balears - Spain",8,5,2016,2020,25
"Conseil Interuniversitaire de la Communauté Française de Belgique",4,11,2005,2015,25
"FOKUS – Forum for Women and Development",5,15,2006,2020,25
"Government of the United Kingdom",11,12,2008,2019,25
"International Planned Parenthood Federation",7,11,2009,2020,25
"Italian Red Cross",3,14,2007,2020,25
"Makerere University",4,11,2010,2020,25
"Ministry of Education - Saudi Arabia",9,9,2012,2020,25
"Ministry of Health - Spain",9,14,2007,2020,25
"MSI Reproductive Choices",3,13,2008,2020,25
"Public Services and Procurement Canada",3,13,2005,2017,25
"Solsoc",3,13,2008,2020,25
"Swedish Prison and Probation Service",5,7,2014,2020,25
"Tearfund",4,13,2006,2020,25
"Training Resources Group, Inc.",9,6,2015,2020,25
"Union to Union",5,12,2006,2020,25
"United Nations Relief and Works Agency for Palestine Refugees in the Near East",2,16,2005,2020,25
"Universitat de València",4,16,2005,2020,25
"Caritas Österreich",5,12,2005,2020,24
"College of William and Mary",3,9,2012,2020,24
"Entreculturas",7,12,2007,2020,24
"Federal Ministry of Agriculture, Forestry, Regions and Water Management - Austria",10,12,2007,2020,24
"Fondation Hirondelle",6,14,2005,2020,24
"Freedom House",7,8,2013,2020,24
"NORC at the University of Chicago",3,8,2013,2020,24
"Oxfam Intermón",6,13,2006,2020,24
"PACT World",5,12,2005,2018,24
"Première Urgence Internationale",6,11,2010,2020,24
"Save the Children Sweden",6,4,2017,2020,24
"Solidaridad Internacional",4,15,2006,2020,24
"Terre sans frontières",3,13,2006,2020,24
"United Nations Volunteers",5,12,2007,2018,24
"Aga Khan Foundation Canada",3,10,2011,2020,23
