raw_name,cleaned_name
Institute of Environment and Agricultural Research - Burkina Faso,institute of environment and agricultural research burkina faso
Instituto de Estudios sobre Desarrollo y Cooperación Internacional,instituto de estudios sobre desarrollo y cooperacion internacional
Instituto Político para la Libertad,instituto politico para la libertad
Inter-American Development Bank Grant Facility,inter american development bank grant facility
Internal Security Force of Lekhwiya - Qatar,internal security force of lekhwiya qatar
International and Ibero-American Foundation for Administration and Public Policies - Spain,international and ibero american foundation for administration and public policies spain
International Association of Women Judges,international association of women judges
International Catholic Migration Commission,international catholic migration commission
International Centre for Counter-Terrorism,international centre for counter terrorism
International Civil Aviation Organization,international civil aviation organization
International College Beirut,international college beirut
International Development Programme of the Danish Youth Council,international development programme of the danish youth council
International Institute for Advance Studies Limited,international institute for advance studies
International Law and Policy Institute,international law and policy institute
International Legal Assistance Consortium,international legal assistance consortium
International Management Group,international management group
International Medical Cooperation Committee,international medical cooperation committee
International Organization for Peacebuilding,international organization for peacebuilding
International Potato Center,international potato center
International Research & Exchanges Board,international research exchanges board
International Service For Human Rights,international service for human rights
International Union Against Tuberculosis and Lung Disease,international union against tuberculosis and lung disease
International Wilderness Leadership School,international wilderness leadership school
"International, Impartial and Independent Mechanism - Syria",international impartial and independent mechanism syria
Interpedia,interpedia
IPPF Africa Region,ippf africa region
Islamic Care Association,islamic care association
Islamic University of Madinah,islamic university of madinah
Issam Fares Institute Public Policy and International Affairs,issam fares institute public policy and international affairs
Istituto Cooperazione Economica Internazionale,istituto cooperazione economica internazionale
Italian Agency for Development Cooperation - Addis Ababa Office,italian agency for development cooperation addis ababa office
Italian Agency for Development Cooperation - Dakar Office,italian agency for development cooperation dakar office
Italian Agency for Development Cooperation - Havana Office,italian agency for development cooperation havana office
Italian Agency for Development Cooperation - La Paz Office,italian agency for development cooperation la paz office
Italian Society for Enterprises Abroad,italian society for enterprises abroad
Italian Agency for Development Cooperation,italian agency for development cooperation
Jordan Hashemite Charity Organization for Relief and Development,jordan hashemite charity organization for relief and development
Jóvenes del Tercer Mundo,jovenes del tercer mundo
Junta de Acción Comunal de la Vereda Cumbarco,junta de accion comunal de la vereda cumbarco
K&M Advisors LLC,k m advisors
Kaalmo Helseorganisasjon,kaalmo helseorganisasjon
Kaamil Microfinance Institution,kaamil microfinance institution
KAFA (enough) Violence & Exploitation,kafa enough violence exploitation
Kajo Keji Lulu Works Multipurpose Cooperative Society,kajo keji lulu works multipurpose cooperative society
Kenyerazigume Federation,kenyerazigume federation
Kismayo University,kismayo university
Kivu International Ltd,kivu international
Koperative Garukirikawa,koperative garukirikawa
Korea Customs Service,korea customs service
KulturKontakt Austria,kulturkontakt austria
Kungliga Tekniska högskolan,kungliga tekniska hogskolan
La Confédération des Associations des Producteurs Agricoles pour le Développement,la confederation des associations des producteurs agricoles pour le developpement
Latin-Amerikagruppene i Norge,latin amerikagruppene i norge
Lay Volunteers International Association,lay volunteers international association
Lebanese Center for Active Citizenship,lebanese center for active citizenship
Lebanese Economic Association,lebanese economic association
Lebanon Mine Action Center,lebanon mine action center
Lebanon Reforestation Initiative,lebanon reforestation initiative
Legal Agenda,legal agenda
Maarouf Saad Social and Cultural foundation,maarouf saad social and cultural foundation
Magna,magna
MAGNA,magna
MAKAIA,makaia
Maná - Ayuda al Desarollo,mana ayuda al desarollo
Masar Association,masar association
Medical Aid for Palestinians,medical aid for palestinians
MESSRS,messrs
"Metrica, Inc",metrica
Metropolis Cinema,metropolis cinema
Ministère de l’Administration territoriale et de la Décentralisation,ministere de l’administration territoriale et de la decentralisation
"Ministère de l’Artisanat, de la Culture de l'Industrie Hôtelière et du Tourisme",ministere de l’artisanat de la culture de l industrie hoteliere et du tourisme
Ministère de la Planification et de la Coopération Externe,ministere de la planification et de la cooperation externe
Ministère de la Production et de la Transformation Agricole,ministere de la production et de la transformation agricole
"Ministère de la Promotion  de l'Investissement privé, des PME et de l'Entreprenariat",ministere de la promotion de l investissement prive des pme et de l entreprenariat
Ministério da Educação,ministerio da educacao
Ministério da Infraestrutura,ministerio da infraestrutura
Ministério das Obras Públicas,ministerio das obras publicas
"Ministry of Agriculture, Rural Development and Fisheries - Portugal",ministry of agriculture rural development and fisheries portugal
Ministry of Armed Forces - France,ministry of armed forces france
"Ministry of Education, Youth, and Sports - Czech Republic",ministry of education youth and sports czech republic
"Ministry of Environment, Territory Planning and Regional Development - Portugal",ministry of environment territory planning and regional development portugal
Ministry of Interior and Municipalities,ministry of interior and municipalities
Ministry of Internal Administration - Portugal,ministry of internal administration portugal
Ministry of Public Health - Qatar,ministry of public health qatar
"Ministry of Public Works, Transport and Communications - Portugal",ministry of public works transport and communications portugal
"Ministry of Science, Technology and Higher Education - Portugal",ministry of science technology and higher education portugal
MIR partenariats et développement international,mir partenariats et developpement international
Misión Humanitaria,mision humanitaria
Mission to Support the Peace Process in Colombia (MAPP/OAS),mission to support the peace process in colombia mapp oas
Mouvement Ivoirien des Droits Humains,mouvement ivoirien des droits humains
Mugarik Gabe Nafarroa,mugarik gabe nafarroa
Mwatana for Human Rights,mwatana for human rights
MWH Global,mwh global
Namati,namati
National AIDS Program,national aids program
National Cancer Control Foundation,national cancer control foundation
National University of Computer and Emerging Sciences,national university of computer and emerging sciences
Nepal Productions DA,nepal productions da
Nepal Technical Assistance Group,nepal technical assistance group
NetHope,nethope
Network Group,network group
New South Global Pty Ltd,new south global
Nordic Development Fund,nordic development fund
Norsk ressursbank for demokrati og menneskerettar,norsk ressursbank for demokrati og menneskerettar
Norwegian Centre for Conflict Resolution,norwegian centre for conflict resolution
Nova Scotia Gambia Association,nova scotia gambia association
Nyein (Shalom) Foundation,nyein shalom foundation
Nyeta Conseils,nyeta conseils
OECD Development Centre,oecd development centre
Office National de l'Eau Potable,office national de l eau potable
Olgoonik Technical Services,olgoonik technical services
One Earth Future,one earth future
Ordre des Peres Carmes au Liban,ordre des peres carmes au liban
Organisation des Paysans de Labiche,organisation des paysans de labiche
Organisation for Nonviolence and Development,organisation for nonviolence and development
Organisation for Somalis' Protection and Development,organisation for somalis protection and development
Organisation of Islamic Cooperation,organisation of islamic cooperation
Oxfam Germany,oxfam germany
Palestinian Center for Policy and Survey Research,palestinian center for policy and survey research
Parlamento Nacional,parlamento nacional
Partners Global,partners global
Partners In Health,partners in health
Partners West Africa Senegal,partners west africa senegal
Partnership Center for Development and Democracy,partnership center for development and democracy
Pastoral Social Cáritas Ocaña,pastoral social caritas ocana
Peaceful Schools International,peaceful schools international
"Pelastakaa Lapset, Rädda Barnen",pelastakaa lapset radda barnen
Pennsylvania State University,pennsylvania state university
People's Movement for Human Rights Learning,people s movement for human rights learning
Permanent Mission of Greece to the United Nations,permanent mission of greece to the united nations
Persone Come Noi,persone come noi
Phandeeyar Foundation,phandeeyar foundation
Plan International Australia,plan international australia
Playdoo-Côte d’Ivoire,playdoo cote d’ivoire
Polus Center,polus center
Presidência do Conselho de Ministros,presidencia do conselho de ministros
Probogotá Región,probogota region
ProDev,prodev
Profamilia,profamilia
Programma Uitzending Managers,programma uitzending managers
Prosjekt Haiti,prosjekt haiti
Proximity Designs,proximity designs
PTCBM,ptcbm
Public Water Corporation,public water
Reconstituted Joint Monitoring and Evaluation Commission,reconstituted joint monitoring and evaluation commission
Research Institute of Organic Agriculture,research institute of organic agriculture
Réseau Plaidoyer et Lobbying,reseau plaidoyer et lobbying
Resguardo Indígena Cañamomo Lomaprieta,resguardo indigena canamomo lomaprieta
Resguardo Indígena Eperara Siapidara del Río Naya,resguardo indigena eperara siapidara del rio naya
Restart Center for Rehabilitation of Victims of Violence and Torture,restart center for rehabilitation of victims of violence and torture
S.C.P. Hydro International Inc,s c p hydro international
Sadankomitea,sadankomitea
Safadi Foundation,safadi foundation
Said and Hasiba Freiha and Sons Foundation,said and hasiba freiha and sons foundation
Sana'a University,sana a university
SAPPROS - Nepal,sappros nepal
Sasakawa Africa Association,sasakawa africa association
Save the Children Nederland,save the children nederland
Secretaria de Estado da Cooperação Internacional,secretaria de estado da cooperacao internacional
SEEMA Center for Training and Protection of Women and Child’s Rights,seema center for training and protection of women and child’s rights
Seva Canada,seva canada
Shabelle Relief and Development Organization,shabelle relief and development organization
Sierra Leone Red Cross Society,sierra leone red cross society
Sightsavers Ireland,sightsavers ireland
Sikasso Regional Council,sikasso regional council
Simon Fraser University,simon fraser university
SINTEF,sintef
"Social, Humanitarian, Economic Intervention for Local Development",social humanitarian economic intervention for local development
Société Coopérative Agropastorale ‘Bènkadi’ de N'Toba,societe cooperative agropastorale ‘benkadi’ de n toba
"Societe Cooperative Simplifiee ""Diamandjigui"" des Femmes de Sandare",societe cooperative simplifiee diamandjigui des femmes de sandare
SODEPAZ,sodepaz
Solar Electric Light Fund,solar electric light fund
Somali Institute of Peace,somali institute of peace
Somaliland Development Fund,somaliland development fund
Somaliland Journalists Association,somaliland journalists association
Somaliland National Youth Organisation,somaliland national youth organisation
SOS Barnaþorpin,sos barnaþorpin
SOS Exclusion,sos exclusion
SOS Sahel Sudan,sos sahel sudan
South Asia Forum for Human Rights,south asia forum for human rights
Soutoura,soutoura
Sporometrics Inc.,sporometrics
State Scholarships Foundation - Greece,state scholarships foundation greece
Stichting Nieuwkomers en Vluchtelingenwerk Brabant Centraal,stichting nieuwkomers en vluchtelingenwerk brabant centraal
Stichting Onderzoek Multinationale Ondernemingen,stichting onderzoek multinationale ondernemingen
Street Kids International,street kids international
Sudanese Red Crescent,sudanese red crescent
Suomen NMKY,suomen nmky
Susan Thompson Buffett Foundation,susan thompson buffett foundation
Sustainable Democracy Center,sustainable democracy center
Sustainalytics,sustainalytics
Syria Recovery Trust Fund,syria recovery trust fund
Syrian Center for Political and Strategic Studies,syrian center for political and strategic studies
T.M.C. Asser Instituut,t m c asser instituut
Taekwondo Promotion Foundation,taekwondo promotion foundation
Tamkin Foundation for Social Services,tamkin foundation for social services
Terra Global Capital,terra global capital
The Chancellor Masters and Scholars of the University of Oxford,chancellor masters and scholars of the university of oxford
The Diplomat Group,diplomat group
The Social and Health Education Project CLG,social and health education project clg
The South African Institute of International Affairs,south african institute of international affairs
Transnational Institute,transnational institute
Tribune jeunes pour le droit Mali,tribune jeunes pour le droit mali
Tuwindi Fondation,tuwindi fondation
UCP Ministère de l'Économie et des Finances,ucp ministere de l economie et des finances
"Union Communale des Societes Cooperatives des Producteurs de Cereales ""Jamajigi"" de Fatine",union communale des societes cooperatives des producteurs de cereales jamajigi de fatine
Union des Associations Rizicoles de Nyabitsin,union des associations rizicoles de nyabitsin
Union des Producteurs de Sésame de Banamba (UPSB),union des producteurs de sesame de banamba upsb
Union des Societes Cooperatives COOP CA Bako Sene Yiriwaton des Producteurs Agricoles de Sy,union des societes cooperatives coop ca bako sene yiriwaton des producteurs agricoles de sy
Union des sociétés coopératives des producteur,union des societes cooperatives des producteur
Union des Sociétés Coopératives des Producteurs Céréaliers du Cercle de Baraouéli,union des societes cooperatives des producteurs cerealiers du cercle de baraoueli
Union des Sociétés Coopératives Laitières des Communes de Dioro et Farakoumassa,union des societes cooperatives laitieres des communes de dioro et farakoumassa
Union Locale des Sociétés Coopératives de Producteurs de Sésame de Koulikoro,union locale des societes cooperatives de producteurs de sesame de koulikoro
Union Yiriwa Dje des Societes Cooperatives Agricoles Pole de Tingoni,union yiriwa dje des societes cooperatives agricoles pole de tingoni
Unité de santé internationale,unite de sante internationale
United Nations Association in Canada,united nations association in canada
United Nations Foundation,united nations foundation
United Nations Geneva General Fund,united nations geneva general fund
United Nations Integrated Mission in Timor-Leste,united nations integrated mission in timor leste
United Nations International Independent Investigation Commission,united nations international independent investigation commission
United Nations Mission in Nepal,united nations mission in nepal
United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,united nations multidimensional integrated stabilization mission in the central african republic
Uniting Church in Australia,uniting church in australia
Universidad Carlos III de Madrid,universidad carlos iii de madrid
Universidad de Antioquia,universidad de antioquia
Universidad de Chile,universidad de chile
Universidade Federal do Paraná,universidade federal do parana
Università degli Studi di Brescia,universita degli studi di brescia
Università degli Studi di Milano-Bicocca,universita degli studi di milano bicocca
Università degli Studi di Verona,universita degli studi di verona
Universitat de les Illes Balears,universitat de les illes balears
Universitat Politècnica de València,universitat politecnica de valencia
Université Alassane Ouattara,universite alassane ouattara
Université de Berne,universite de berne
Université de Moncton,universite de moncton
Université de Parakou,universite de parakou
Université du Québec à Montréal,universite du quebec a montreal
Université Nangui Abrogoua,universite nangui abrogoua
Universitetet i Nordland,universitetet i nordland
University and Research Grants Management Agency - Spain,university and research grants management agency spain
University of Engineering and Technology,university of engineering and technology
University of Nigeria,university of nigeria
University of Saskatchewan,university of saskatchewan
University of Southern California,university of southern california
University of Toronto,university of toronto
University of Toronto Governing Council,university of toronto governing council
USAID Municipal Economic Growth Activity - United States,usaid municipal economic growth activity united states
Valais Solidaire,valais solidaire
Vicaría Episcopal de Pastoral Social - Cáritas Diocesana,vicaria episcopal de pastoral social caritas diocesana
Virginia Commonwealth University in Qatar,virginia commonwealth university in qatar
Viva Rio,viva rio
Voice of Democracy Radio,voice of democracy radio
Washington Office on Latin America,washington office on latin america
West Africa Network for Peacebuilding,west africa network for peacebuilding
Wetlands International,wetlands international
Women's Association of Zantiebougou,women s association of zantiebougou
Women in Action for Development,women in action for development
Women in Front,women in front
Women in Law and Development in Africa,women in law and development in africa
Woodrow Wilson International Center for Scholars,woodrow wilson international center for scholars
World Braille Foundation,world braille foundation
World Organisation Against Torture,world organisation against torture
World Rehabilitation Fund,world rehabilitation fund
World Vision Österreich,world vision osterreich
WWF Norge,wwf norge
Yemen 21 Century Forum,yemen 21 century forum
Yemen Development Network for NGOs,yemen development network for ngos
AAMIN Organization Somalia,aamin organization somalia
ABBAL,abbal
Academy for Development & Advocacy of Minorities,academy for development advocacy of minorities
ACCION International,accion international
Accountability Lab,accountability lab
Acqua per la Vita,acqua per la vita
Action Contre la Faim Canada,action contre la faim canada
Action on Armed Violence,action on armed violence
ActionAid,actionaid
Adopsjonsforum,adopsjonsforum
Advancing Life and Regenerating Motherland,advancing life and regenerating motherland
Africa Youth Development Association,africa youth development association
African Institute for Economic Development and Planning,african institute for economic development and planning
African Organisation for Research and Training in Cancer,african organisation for research and training in cancer
Afrique Créative,afrique creative
Afro-Asiatisches Institut Salzburg,afro asiatisches institut salzburg
Aga Khan Foundation,aga khan foundation
Agence Ivoirienne de Marketing social,agence ivoirienne de marketing social
Agencia Española de Cooperación Internacional para el Desarrollo,agencia espanola de cooperacion internacional para el desarrollo
Agencia Presidencial de Cooperación Internacional de Colombia,agencia presidencial de cooperacion internacional de colombia
AGRHYMET Regional Centre,agrhymet regional centre
Agronomes et Vétérinaires Sans Frontières Haiti,agronomes et veterinaires sans frontieres haiti
Ahlouna Association,ahlouna association
Ajuda de Desenvolvimento de Povo para Povo,ajuda de desenvolvimento de povo para povo
Akari Development Association,akari development association
Akwaba Trentini,akwaba trentini
Al-Alaq Center for Press Services,al alaq center for press services
Al-Ramah Medical Center,al ramah medical center
Al Islah Islamic Association,al islah islamic association
Al Safwa Hospital,al safwa hospital
Alianza para la Paz,alianza para la paz
ALINIHA Self-Managed Association of Kobokoro,aliniha self managed association of kobokoro
Alliance for Gender Inclusion in the Peace Process,alliance for gender inclusion in the peace process
Alliance pour la Renaissance et l’Emergence de la Centrafrique,alliance pour la renaissance et l’emergence de la centrafrique
Alola Foundation,alola foundation
Amel Association,amel association
"American Community School, Beirut",american community school beirut
Amici della Sierra Leone onlus,amici della sierra leone onlus
Amref Health Africa - Canada,amref health africa canada
Anergi International,anergi international
Apple Inc.,apple
Arab Center for the Development of the Rule of Law and Integrity,arab center for the development of the rule of law and integrity
Arab Forum for Alternatives,arab forum for alternatives
Arab Group for Muslim-Christian Dialogue,arab group for muslim christian dialogue
Arbeiderpartiet,arbeiderpartiet
ARCHiNOS Architecture,archinos architecture
Architecture Sans Frontières International,architecture sans frontieres international
Arntzen de Besche,arntzen de besche
Asian Network for Free Election,asian network for free election
Asociación de Autoridades Indígenas,asociacion de autoridades indigenas
Asociación de Autoridades Tradicionales Indígenas Shipia Wayuu,asociacion de autoridades tradicionales indigenas shipia wayuu
Asociación de Productores Indígenas y Campesinos,asociacion de productores indigenas y campesinos
Asociación de Usuarios del Distrito de Adecuacion de Tierras de Pequena Escala San Miguel De Cariaco,asociacion de usuarios del distrito de adecuacion de tierras de pequena escala san miguel de cariaco
Asociación Primatológica Colombiana,asociacion primatologica colombiana
Aspen Institute México,aspen institute mexico
Assembly of First Nations,assembly of first nations
Association Ashghalouna,association ashghalouna
Association de Lutte Contre la Pauvreté,association de lutte contre la pauvrete
Association des Producteurs de Riz de Ninga,association des producteurs de riz de ninga
Association les Nouvelles Initiatives au Mali,association les nouvelles initiatives au mali
Association Pour des Reseaux Educatifs et Culturels Francophones Cote D'Ivoire,association pour des reseaux educatifs et culturels francophones cote d ivoire
Association Routes du Sud,association routes du sud
Associazione Punto di Partenza,associazione punto di partenza
Associazione Trentina Rete di Servizio,associazione trentina rete di servizio
Associazione UOMO MONDO OdV,associazione uomo mondo odv
Australian Conservation Foundation,australian conservation foundation
Australian Council for International Development,australian council for international development
Australian Electoral Commission,australian electoral commission
Australian Federal Police,australian federal police
Austrian Study Centre for Peace and Conflict Resolution,austrian study centre for peace and conflict resolution
Bancamía,bancamia
Banque de Crédit de Bujumbura,banque de credit de bujumbura
Barwaaqo Voluntary Organization,barwaaqo voluntary organization
Basmeh & Zeitooneh,basmeh zeitooneh
BBC,bbc
BBC World Service Trust,bbc world service trust
Ben Yiriwa Women’s Association,ben yiriwa women’s association
Berri-somal kehitys ry,berri somal kehitys ry
BINA Organization,bina organization
Blogosfera Producciones Sas,blogosfera producciones sas
BlonBa Complexe Culturel,blonba complexe culturel
Bonyan Organization,bonyan organization
Bornefonden,bornefonden
Bridges-Josour Inc.,bridges josour
Burma Center Prague,burma center prague
Cadre de promotion pour la Formation en Photograhie,cadre de promotion pour la formation en photograhie
Camara Semences SARL,camara semences
Canadian Association for Mine and Explosive Ordnance Security,canadian association for mine and explosive ordnance security
CARE Danmark,care danmark
Caritas Czech Republic,caritas czech republic
Caritas Diocese of Bolzano-Brixen,caritas diocese of bolzano brixen
"Carmelitani Scalzi, Mission Chatolica Bozoum",carmelitani scalzi mission chatolica bozoum
Casa De La Mujer,casa de la mujer
Catharsis,catharsis
Catholic Social Action,catholic social action
Ceasefire & Transitional Security Arrangements Monitoring Mechanism,ceasefire transitional security arrangements monitoring mechanism
Center for Biomaterials - Greece,center for biomaterials greece
Center for International Policy,center for international policy
Center for Studies and Experimentation in Public Works - Spain,center for studies and experimentation in public works spain
Centre Chourouk,centre chourouk
CENTRE DE FORMATION EN SANTE D,centre de formation en sante d
Centre for Basic Research,centre for basic research
Centre for Peace and Conflict Studies,centre for peace and conflict studies
"Centre national d'information, d'éducation et de communication pour la santé",centre national d information d education et de communication pour la sante
Centre pour le Développement des Bonnes Pratiques en Santé,centre pour le developpement des bonnes pratiques en sante
Centro de Pensamiento Estratégico Internacional,centro de pensamiento estrategico internacional
CESVI Fondazione,cesvi fondazione
CEVI,cevi
Childhood Cancer International,childhood cancer international
Church World Service,church world service
Civil Rights Defenders,civil rights defenders
Climate Technology Centre and Network,climate technology centre and network
Club Union Africaine Côte d'Ivoire,club union africaine cote d ivoire
CMS Ireland,cms ireland
Coalition de la société civile pour la paix et le développement démocratique en Côte d'Ivoire,coalition de la societe civile pour la paix et le developpement democratique en cote d ivoire
Coalition de la Société Civile pour le Monitoring Electoral,coalition de la societe civile pour le monitoring electoral
Coalition Ivoirienne des Défenseurs des Droits Humains,coalition ivoirienne des defenseurs des droits humains
Collectif des Femmes du Mali,collectif des femmes du mali
Colombia's Presidential Office for Communications,colombia s presidential office for communications
Comfenalco Antioquia,comfenalco antioquia
Commission des forêts d'Afrique centrale,commission des forets d afrique centrale
Commission Justice et Paix,commission justice et paix
Commission Nationale Indépendante des Droits de l'Homme,commission nationale independante des droits de l homme
"Committee for the Reception of Refugees, Secretariat for Equality, Migration and Citizenship - Spain",committee for the reception of refugees secretariat for equality migration and citizenship spain
Commonwealth Foundation,commonwealth foundation
Community of Murcia - Spain,community of murcia spain
Computers for Schools Kenya,computers for schools kenya
Comunità Missionaria di Villaregia per lo Sviluppo,comunita missionaria di villaregia per lo sviluppo
Conciliation Resources,conciliation resources
Confederación Colombiana de Cámaras de Comercio,confederacion colombiana de camaras de comercio
Conflict Prevention and Peace Forum,conflict prevention and peace forum
Conseil scolaire catholique et francophone du sud de l'Alberta,conseil scolaire catholique et francophone du sud de l alberta
Consejo de Redacción,consejo de redaccion
Conservation International,conservation international
"Coopérative ""Benkady"" des Femmes Maraîchères de Torodo",cooperative benkady des femmes maraicheres de torodo
Coopérative des Associations Feminines de Finkolo Ganadougou,cooperative des associations feminines de finkolo ganadougou
Coopérative des Producteurs Semenciers Seneyiriwaton de Koumantou,cooperative des producteurs semenciers seneyiriwaton de koumantou
Coopérative des Productrices de Beurre de Karité de la commune rurale de Siby,cooperative des productrices de beurre de karite de la commune rurale de siby
Coopérative Kafoyiriwaso,cooperative kafoyiriwaso
Cooperative Kanuratubonekure,cooperative kanuratubonekure
Cooperative Kundudutezimbere,cooperative kundudutezimbere
Coopérative Rumuri-Murimigwa,cooperative rumuri murimigwa
Coopérative Tubamurikire-Ngozi,cooperative tubamurikire ngozi
Cooperazione Paesi Emergenti,cooperazione paesi emergenti
Cornell University,cornell university
Corporación Región,corporacion region
County Council in Kalmar - Sweden,county council in kalmar sweden
Crystal Association for Women's Development,crystal association for women s development
D.K. Kim Foundation,d k kim foundation
Daw Khin Kyi Foundation,daw khin kyi foundation
Den norske Burmakomité,den norske burmakomite
"Department for Business, Energy, and Industrial Strategy - United Kingdom",department for business energy and industrial strategy united kingdom
Department of Foreign Affairs and Trade - Australia,department of foreign affairs and trade australia
Department of Hydrology Meteorology,department of hydrology meteorology
Department of Roads,department of roads
Development Studies and Research Institute,development studies and research institute
Direction nationale de l’eau potable et de l’assainissement,direction nationale de l’eau potable et de l’assainissement
DLT Solutions,dlt solutions
Donation and Transplantation Institute,donation and transplantation institute
Dorcas Aid International,dorcas aid international
Dynasafe,dynasafe
East-West Management Institute,east west management institute
Ebonyi State University,ebonyi state university
Eduquer Former Les Femmes un Appui au Developpement Region de Kidal,eduquer former les femmes un appui au developpement region de kidal
Eesti Pagulasabi,eesti pagulasabi
Embassy of Canada to Chile,embassy of canada to chile
Embassy of Canada to Colombia,embassy of canada to colombia
Embassy of Canada to Timor-Leste,embassy of canada to timor leste
Embassy of Greece in Beirut,embassy of greece in beirut
Embassy of Italy Kampala,embassy of italy kampala
Embassy of Poland in Thailand,embassy of poland in thailand
Embassy of Portugal,embassy of portugal
Embassy of Spain,embassy of spain
Embassy of Spain in Lebanon,embassy of spain in lebanon
Embassy of Spain in Sudan,embassy of spain in sudan
Embassy of the Czech Republic in Lebanon,embassy of the czech republic in lebanon
Embassy of the Republic of Poland in Bogota,embassy of the republic of poland in bogota
Embassy Products & Logistics U.S.A.,embassy products logistics u s a
Enab Baladi,enab baladi
ENDA MALI,enda mali
Enlightened Myanmar Research Foundation,enlightened myanmar research foundation
Environment and Climate Change Canada,environment and climate change canada
Environmental Incentives,environmental incentives
Environmental Movement in the South,environmental movement in the south
EPATAE,epatae
Equal Access International,equal access international
EQualitie,equalitie
"Equidad de Género, Ciudadanía, Trabajo y Familia, A.C.",equidad de genero ciudadania trabajo y familia a c
Erudit,erudit
Espoir-Vie,espoir vie
Esri,esri
Ethiopian Public Health Institute,ethiopian public health institute
European Bank for Reconstruction and Development,european bank for reconstruction and development
Euskal Herriko Nekazarien Elkartasuna,euskal herriko nekazarien elkartasuna
Facilité Africaine de l'eau,facilite africaine de l eau
Fairtrade Finland,fairtrade finland
Family Planning Australia,family planning australia
Federación De Migrantes De La Union Europea En Andalucia,federacion de migrantes de la union europea en andalucia
"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection - Germany",federal ministry for the environment nature conservation nuclear safety and consumer protection germany
Federal Ministry of the Interior - Austria,federal ministry of the interior austria
Federal State of Baden-Württemberg - Germany,federal state of baden wurttemberg germany
Federatie van Somalische Associaties in Nederland,federatie van somalische associaties in nederland
Fédération vaudoise de coopération,federation vaudoise de cooperation
Federazione Organismi Cristiani Servizio Internazionale Volontario,federazione organismi cristiani servizio internazionale volontario
Fibres du Mali SARL,fibres du mali
Folke Bernadotte Academy - Sweden,folke bernadotte academy sweden
Fondasyon Limye Lavi,fondasyon limye lavi
Fondation Communautaire Haïtienne- ESPWA,fondation communautaire haitienne espwa
Fondazione Cesar,fondazione cesar
Fondazione CESVI,fondazione cesvi
Fonds de Garantie pour le Secteur Privé du Mali,fonds de garantie pour le secteur prive du mali
Fonds Ingrid Renard,fonds ingrid renard
Food for the Poor,food for the poor
Foreningen Haugesund Rotifunk,foreningen haugesund rotifunk
Forest Resources Studies and Action Team,forest resources studies and action team
Forum de la Societe Civile de l'Afrique de l'Ouest de Cote d'Ivoire,forum de la societe civile de l afrique de l ouest de cote d ivoire
Forum for African Women Educationalists,forum for african women educationalists
Foundation for Democracy and Accountable Governance,foundation for democracy and accountable governance
Foundation for Solidarity and Peace 'Serafin Aliaga',foundation for solidarity and peace serafin aliaga
Foundation for the Promotion of Human Development and Health – PRO.SA,foundation for the promotion of human development and health – pro sa
Frères de l'instruction chrétienne de Ploërmel,freres de l instruction chretienne de ploermel
Friedrich Ebert Stiftung,friedrich ebert stiftung
Friends for Justice,friends for justice
Fundación Casa de las Estrategias,fundacion casa de las estrategias
Fundación CODESPA,fundacion codespa
Fundación de Solidaridad Amaranta,fundacion de solidaridad amaranta
Fundación Desarrollo y Paz,fundacion desarrollo y paz
Fundación La Valmuza,fundacion la valmuza
Fundación Natura,fundacion natura
Fundación Real Madrid,fundacion real madrid
Gender Equality Network,gender equality network
Gezira Young People Agribusiness Trust Co.Ltd,gezira young people agribusiness trust co
Global Financial Integrity,global financial integrity
Gobernación de Nariño,gobernacion de narino
Government of Kazakhstan,government of kazakhstan
Government of Azerbaijan,government of azerbaijan
Granja Productiva ASOGUAJARO,granja productiva asoguajaro
Grassroots Relief & Development Agency,grassroots relief development agency
Green Farmers Microfinance Savings and Credit Cooperative Society Limited,green farmers microfinance savings and credit cooperative society
Greenhost,greenhost
GRID-Arendal,grid arendal
"Groupe Energies Renouvelables, Environnement et Solidarités",groupe energies renouvelables environnement et solidarites
Grupo Asociativo Agropecuario El Progreso Ciudadela de Bomboná,grupo asociativo agropecuario el progreso ciudadela de bombona
Grupo Empresarial Oikos,grupo empresarial oikos
Gruppo di Volontariato San Prospero,gruppo di volontariato san prospero
Gum Enterprises Co. Ltd,gum enterprises co
Gurtong Trust Peace & Media Project,gurtong trust peace media project
Haiti Development Institute,haiti development institute
Hamad Bin Khalifa University College of Science and Engineering,hamad bin khalifa university college of science and engineering
Harvard University,harvard university
Health Through Walls,health through walls
Heart Doctors,heart doctors
Heinrich Böll Foundation,heinrich boll foundation
Hellenic Aid - Greece,hellenic aid greece
Help Leads to Hope Foundation,help leads to hope foundation
Higher Council for Environment and Natural Resources,higher council for environment and natural resources
Himilo Foundation,himilo foundation
HK Logistics,hk logistics
Hogar De Cristo,hogar de cristo
Horn Youth Development Association,horn youth development association
Human Call Association,human call association
Hungarian Interchurch Aid,hungarian interchurch aid
I.CO.P. S.p.A.,i co p s p a
IAMANEH Suisse,iamaneh suisse
ICCO - Interchurch Organization for Development Cooperation,icco interchurch organization for development cooperation
ICRC MoveAbility,icrc moveability
IDIAA South Sudan,idiaa south sudan
Ihsan Relief and Development,ihsan relief and development
Illawarra Technology Corporation Limited,illawarra technology
Illes Solidàries amb el Sud,illes solidaries amb el sud
Improve Your Society Organization,improve your society organization
Impunity Watch,impunity watch
