raw_name,cleaned_name
Institut de Formation Syndicale Internationale,institut de formation syndicale internationale
International Centre for Advanced Mediterranean Agronomic Studies,international centre for advanced mediterranean agronomic studies
KNCV Tuberculosis Foundation,kncv tuberculosis foundation
Ministry of Economy and Finance - South Korea,ministry of economy and finance south korea
Oxfam Italia,oxfam italia
Swisscontact - Swiss Foundation for Technical Cooperation,swisscontact swiss foundation for technical cooperation
Abu Dhabi Department of Finance - United Arab Emirates,abu dhabi department of finance united arab emirates
Africare,africare
Carnegie Endowment for International Peace,carnegie endowment for international peace
Carrefour de Solidarité Internationale,carrefour de solidarite internationale
Cowater International,cowater international
Democracy International,democracy international
Development for People and Nature Association,development for people and nature association
Embassy of Canada in Khartoum,embassy of canada in khartoum
Entraide et Fraternité,entraide et fraternite
Geneva Centre for Security Sector Governance,geneva centre for security sector governance
Government of Chad,government of chad
Government of Cote d'Ivoire,government of cote d ivoire
Government of Sierra Leone,government of sierra leone
Healthnet TPO,healthnet tpo
Ministry of Environment,ministry of environment
"Ministry of Labour, Solidarity and Social Security - Portugal",ministry of labour solidarity and social security portugal
Multilateral Investment Fund,multilateral investment fund
Nordic International Support Foundation,nordic international support foundation
Oxfam Canada,oxfam canada
PATH (Program for Appropriate Technology in Health),path program for appropriate technology in health
RTI International,rti international
Save the Children Federation,save the children federation
Solidagro,solidagro
SOS Village d'Enfants- Belgium,sos village d enfants belgium
Statistics Sweden,statistics sweden
Terre des Hommes Italy,terre des hommes italy
World Relief,world relief
11.11.11,11 11 11
Agence Routière du Burundi,agence routiere du burundi
Assembly Social Bashhim,assembly social bashhim
Association pour la Coopération avec la Micro Entreprise,association pour la cooperation avec la micro entreprise
Caritas Danmark,caritas danmark
Centre de Coopération Internationale en Santé et Développement,centre de cooperation internationale en sante et developpement
Controinformazione Terzo Mondo - Servizio Internazionale Volontario,controinformazione terzo mondo servizio internazionale volontario
Council for Development and Reconstruction,council for development and reconstruction
ELEAT,eleat
Gouvernement de la République d'Haiti,gouvernement de la republique d haiti
Government of Burundi,government of burundi
Government of Colombia,government of colombia
Government of France,government of france
Government of Guinea-Bissau,government of guinea bissau
Government of Haiti,government of haiti
Government of Israel,government of israel
Government of Lebanon,government of lebanon
Government of Libya,government of libya
Government of Mali,government of mali
Government of Myanmar,government of myanmar
Government of Nepal,government of nepal
Government of Somalia,government of somalia
Government of Sudan,government of sudan
Government of Syria,government of syria
Government of Thailand,government of thailand
Government of the Central African Republic,government of the central african republic
Government of Timor-Leste,government of timor leste
Government of Yemen,government of yemen
International Media Support,international media support
International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistan,international monetary fund subsidization of emergency post conflict assistance emergency assistan
International Union for Conservation of Nature,international union for conservation of nature
Irish Aid,irish aid
Islamic Relief Sweden,islamic relief sweden
Louvain Coopération,louvain cooperation
Management Concepts,management concepts
Manos Visibles,manos visibles
Médecins Sans Vacances,medecins sans vacances
Medical Emergency Relief International,medical emergency relief international
Memisa-België,memisa belgie
Mennonite Economic Development Associates,mennonite economic development associates
Ministère de l'Agriculture de l'Elevage et de la Pêche,ministere de l agriculture de l elevage et de la peche
Ministère de la Santé et du Développement Social,ministere de la sante et du developpement social
Ministére de la Sante Publique et de la Lutte contre le Sida - Burundi,ministere de la sante publique et de la lutte contre le sida burundi
Ministère du Développement Rural,ministere du developpement rural
Ministério da Saúde Pública,ministerio da saude publica
Ministry of Agriculture and Irrigation,ministry of agriculture and irrigation
Ministry of Physical Infrastructure and Transport,ministry of physical infrastructure and transport
Ministry of Transport and Public Works,ministry of transport and public works
Mohamed bin Zayed Species Conservation Fund - United Arab Emirates,mohamed bin zayed species conservation fund united arab emirates
Nepal Electricity Authority,nepal electricity authority
Netherlands Institute of International Relations - Clingendael,netherlands institute of international relations clingendael
Pan-American Health Organization-World Health Organization,pan american health organization world health organization
Parliamentary Centre,parliamentary centre
Royal Tropical Institute,royal tropical institute
Samaritan's Purse,samaritan s purse
Secretariado Nacional de Luta Contra SIDA,secretariado nacional de luta contra sida
SNV Netherlands Development Organisation,snv netherlands development organisation
Society for International Development,society for international development
SPARK,spark
Tørrlands-koordineringsgruppen,tørrlands koordineringsgruppen
TradeMark Africa,trademark africa
Tufts University,tufts university
United Nations Development Programme Sudan,united nations development programme sudan
Universitat Politècnica de Catalunya,universitat politecnica de catalunya
World Vision Australia,world vision australia
World Vision Colombia,world vision colombia
ZemiTek,zemitek
Adventist Development and Relief Agency Canada,adventist development and relief agency canada
Aide Internationale à L'enfance,aide internationale a l enfance
Alinea International,alinea international
American Red Cross,american red cross
Amref Health Africa,amref health africa
Arabikansojen Ystävyysseura,arabikansojen ystavyysseura
Asamblea de Cooperación por la Paz,asamblea de cooperacion por la paz
Austcare,austcare
