tag,seed,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
11,134,density,+-2,2.0645502076362202e-4,0.003907464515018706,0.9584445058609672,95,19,-0.007452175428673042,0.007865085470200286
11,134,density,+-3,-7.716725174769352e-4,0.005144607530615198,0.88243543779956,133,19,-0.010855103277482724,0.009311758242528853
11,134,density,+-4,-0.002449280909222671,0.005499920544127409,0.6613905448113818,171,19,-0.013229125175712392,0.00833056335726705
11,134,density,+-5,-0.004276157499049151,0.006007081693314655,0.48568062186208383,209,19,-0.016050037617945875,0.007497722619847572
11,134,density,all,-0.01495304854009813,0.00966722789968241,0.13931811648290093,304,19,-0.033900815223475655,0.0039947181432793966
12,135,density,+-2,-1.8714976967248672e-4,0.003911260537107982,0.9623635248463144,95,19,-0.007853220422404132,0.007478920883059158
12,135,density,+-3,-0.0012600357729742602,0.0048286957190593095,0.7970951585622754,133,19,-0.010724279382330507,0.008204207836381986
12,135,density,+-4,-0.002963865053190114,0.00557156994596825,0.6012569434835273,171,19,-0.013884142147287885,0.007956412040907655
12,135,density,+-5,-0.003889164930041822,0.006087526704569166,0.5309509217777957,209,19,-0.01582071727099739,0.008042387410913744
12,135,density,all,-0.016972920571890305,0.01159234690636659,0.16039975898454775,304,19,-0.03969392050836882,0.00574807936458821
13,136,density,+-2,-2.6844975545174703e-4,0.004385723605259366,0.9518665629021013,95,19,-0.008864468021760104,0.008327568510856611
13,136,density,+-3,-0.0012138638675177713,0.005132578260119311,0.8157137558733272,133,19,-0.011273717257351622,0.008845989522316078
13,136,density,+-4,-0.0027708125041053145,0.00610805947267502,0.655515092902757,171,19,-0.014742609070548352,0.009200984062337724
13,136,density,+-5,-0.002332487875596141,0.006757449332043351,0.7339652118303184,209,19,-0.01557708856640111,0.010912112815208826
13,136,density,all,-0.012905179536221547,0.010213032332414383,0.22249499765447953,304,19,-0.032922722907753735,0.007112363835310642
14,137,density,+-2,-0.0011584863678758875,0.0037824850636693735,0.7629084630905434,95,19,-0.00857215709266786,0.006255184356916084
14,137,density,+-3,-0.001801544615535105,0.0047496924483601075,0.7089047266916119,133,19,-0.011110941814320915,0.007507852583250706
14,137,density,+-4,-0.003096017459717812,0.005825576943873575,0.6016028771544863,171,19,-0.014514148269710017,0.008322113350274394
14,137,density,+-5,-0.004209219723742507,0.006293881716904616,0.5121226827150838,209,19,-0.016545227888875552,0.00812678844139054
14,137,density,all,-0.017335133219333627,0.011735053893082483,0.1569025760878735,304,19,-0.04033583884977529,0.005665572411108041
15,138,density,+-2,-0.0013078770346158697,0.0034816031427510634,0.7115647791850288,95,19,-0.008131819194407953,0.0055160651251762146
15,138,density,+-3,-0.0023884582189751644,0.004540940600398452,0.6053205025731434,133,19,-0.01128870179575613,0.0065117853578058014
15,138,density,+-4,-0.004111246149301881,0.005656945039088172,0.47671850682647,171,19,-0.015198858425914697,0.006976366127310936
15,138,density,+-5,-0.004906328459503405,0.006164654306866683,0.43647238767935015,209,19,-0.016989050900962106,0.007176393981955295
15,138,density,all,-0.015307411547656635,0.009708100811565652,0.13226144714766566,304,19,-0.034335289138325314,0.003720466043012044
16,139,density,+-2,3.193213740661011e-4,0.004408221129690998,0.9430524323927657,95,19,-0.008320792040128254,0.008959434788260457
16,139,density,+-3,-0.0014004636996454134,0.005157381781082148,0.7890614015582949,133,19,-0.011508931990566422,0.008708004591275595
16,139,density,+-4,-0.003483460485154052,0.00551514826958956,0.5355771585155711,171,19,-0.014293151093549589,0.007326230123241485
16,139,density,+-5,-0.004481350206192349,0.006056436307614097,0.46888301767622276,209,19,-0.016351965369115977,0.00738926495673128
16,139,density,all,-0.017536243608245534,0.011544472359167125,0.14612792747697081,304,19,-0.040163409432213096,0.005090922215722032
17,140,density,+-2,6.564345732136112e-4,0.003907474492518321,0.8684606813344189,95,19,-0.007002215432122297,0.00831508457854952
17,140,density,+-3,-4.27087841006449e-4,0.004833889048632702,0.9305718176413293,133,19,-0.009901510376326545,0.009047334694313645
