dep_var,placebo_treated,estimate,std_error,p_value,true_estimate
weighted_fragmentation,lib,0.460442039843202,0.06242628064364783,1.5649716813727486e-6,-0.4392297346052036
weighted_fragmentation,mali,-0.29779848511976714,0.06640027813616292,3.750755855168093e-4,-0.4392297346052036
weighted_fragmentation,mmr,-0.2918420957586067,0.06650997673966738,4.585799245100469e-4,-0.4392297346052036
weighted_fragmentation,npl,0.41040767934569555,0.06385863096551488,8.370278633561054e-6,-0.4392297346052036
weighted_fragmentation,sdn,0.30854259113396,0.06619631858718808,2.608929492249183e-4,-0.4392297346052036
weighted_fragmentation,sle,0.21264129964826314,0.06774545104003389,0.006342121963964002,-0.4392297346052036
weighted_fragmentation,syr,-0.01127867055083245,0.06911314448948346,0.8724111811019482,-0.4392297346052036
weighted_fragmentation,tls,0.29214862243562795,0.06650438991790784,4.5386312010982176e-4,-0.4392297346052036
weighted_fragmentation,yem,-0.14040772447087885,0.06852235975350221,0.05722262950901322,-0.4392297346052036
modularity,bdi,-0.0334003440300385,0.027207098763439533,0.23734026036463476,-0.003848162762110947
modularity,car,-0.05214480979783121,0.02708448899248147,0.07216085697678168,-0.003848162762110947
modularity,cdi,-0.03279103542756706,0.027210175505598646,0.2456860333394541,-0.003848162762110947
modularity,chad,-0.17589931978761594,0.02482765230203515,2.5831539137749103e-6,-0.003848162762110947
modularity,col,0.044914494124592995,0.027138217204396888,0.11739863579324003,-0.003848162762110947
modularity,gb,0.09155423158030539,0.02664695218899972,0.0033936308671141634,-0.003848162762110947
modularity,lbn,-0.07761514734668559,0.026830005861952805,0.010597095142028216,-0.003848162762110947
modularity,lib,0.32884340161939235,0.01720287747824213,1.9195981176671737e-12,-0.003848162762110947
modularity,mali,-0.04034259828176279,0.027168013778116024,0.15699720009885093,-0.003848162762110947
modularity,mmr,0.003611192936388033,0.0272910838883582,0.8963798833560146,-0.003848162762110947
modularity,npl,0.01366575445486152,0.027277868690377856,0.6232047508193549,-0.003848162762110947
modularity,sdn,0.08676209176923155,0.02671343215324633,0.005043432975859789,-0.003848162762110947
modularity,sle,-0.08119372174431509,0.026786003147800677,0.007944840647508392,-0.003848162762110947
modularity,syr,0.04145864406614306,0.02716103789923413,0.14643417097531342,-0.003848162762110947
modularity,tls,-0.0015749437291879428,0.027291887057214536,0.9546962605247673,-0.003848162762110947
modularity,yem,-0.1119997276438001,0.026320773921106384,6.04613925232615e-4,-0.003848162762110947
density,bdi,0.005286846731708418,0.010564709141830799,0.6235888205404421,-0.01659872203323956
density,car,-0.00126378500999039,0.010569885628510285,0.9063164163673243,-0.01659872203323956
density,cdi,-0.0030651458419649717,0.01056835418250767,0.7755179353528083,-0.01659872203323956
density,chad,0.10921639706308205,0.007887389559785808,2.5196185189470186e-10,-0.01659872203323956
density,col,-0.014323062993865626,0.010529836795095268,0.19261295332744108,-0.01659872203323956
density,gb,-0.016690219734720863,0.01051535537997051,0.13202505955236554,-0.01659872203323956
density,lbn,0.0035019262990158375,0.010567790806495612,0.7446601248633931,-0.01659872203323956
density,lib,-0.10317713029911241,0.008218020020517317,1.0658119182356435e-9,-0.01659872203323956
density,mali,-0.005985844358942557,0.010563160907349002,0.5788005868916354,-0.01659872203323956
density,mmr,-0.027565439829207113,0.010419918248756276,0.017631825452709006,-0.01659872203323956
density,npl,0.02926409502924715,0.010400670698185214,0.012484054706594493,-0.01659872203323956
density,sdn,0.008717506914270213,0.010555265564898797,0.42101040929461453,-0.01659872203323956
density,sle,0.016573787616133737,0.010516119861110881,0.1345814780748296,-0.01659872203323956
density,syr,-0.025013065641801134,0.010446617026644891,0.029245040036219975,-0.01659872203323956
density,tls,0.05003942529098715,0.010066497363768379,1.3878858203852703e-4,-0.01659872203323956
density,yem,-0.008917569201599928,0.010554571744878756,0.4106226735824572,-0.01659872203323956
